common,page,actions,displays,start,err,ts,dt
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_756104"",""os"":""Android 11.0"",""uid"":""443"",""vc"":""v2.1.134""}","{""during_time"":""5998"",""item"":null,""item_type"":null,""last_page_id"":""good_detail"",""page_id"":""cart"",""source_type"":null}",,,,,1592103478000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_756104"",""os"":""Android 11.0"",""uid"":""443"",""vc"":""v2.1.134""}","{""during_time"":""3361"",""item"":""31"",""item_type"":""sku_ids"",""last_page_id"":""cart"",""page_id"":""trade"",""source_type"":null}","[{""action_id"":""trade_add_address"",""item"":null,""item_type"":null,""ts"":1592103480680}]",,,,1592103479000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_756104"",""os"":""Android 11.0"",""uid"":""443"",""vc"":""v2.1.134""}","{""during_time"":""1843"",""item"":""17,11,14"",""item_type"":""sku_ids"",""last_page_id"":""trade"",""page_id"":""payment"",""source_type"":null}",,,,,1592103480000,2020-06-14
"{""ar"":""110000"",""ba"":""Redmi"",""ch"":""360"",""is_new"":""1"",""md"":""Redmi k30"",""mid"":""mid_542952"",""os"":""Android 11.0"",""uid"":""911"",""vc"":""v2.1.134""}",,,,"{""entry"":""icon"",""loading_time"":1607,""open_ad_id"":1,""open_ad_ms"":2230,""open_ad_skip_ms"":1248}",,1592103473000,2020-06-14
"{""ar"":""110000"",""ba"":""Redmi"",""ch"":""360"",""is_new"":""1"",""md"":""Redmi k30"",""mid"":""mid_542952"",""os"":""Android 11.0"",""uid"":""911"",""vc"":""v2.1.134""}","{""during_time"":""2372"",""item"":null,""item_type"":null,""last_page_id"":null,""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""1"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""1""},{""display_type"":""activity"",""item"":""1"",""item_type"":""activity_id"",""order"":""2"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""29"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""5""},{""display_type"":""query"",""item"":""30"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""3""},{""display_type"":""promotion"",""item"":""30"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""5""},{""display_type"":""query"",""item"":""10"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""2"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""5""}]",,,1592103473000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}",,,,"{""entry"":""icon"",""loading_time"":7398,""open_ad_id"":16,""open_ad_ms"":3758,""open_ad_skip_ms"":0}",,1592103474000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}","{""during_time"":""9268"",""item"":null,""item_type"":null,""last_page_id"":null,""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""2"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""14"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""1""},{""display_type"":""query"",""item"":""21"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""26"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""25"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""4""},{""display_type"":""query"",""item"":""3"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""3""},{""display_type"":""promotion"",""item"":""14"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""8"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""4""},{""display_type"":""query"",""item"":""3"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""13"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""3""},{""display_type"":""query"",""item"":""10"",""item_type"":""sku_id"",""order"":""11"",""pos_id"":""5""}]",,,1592103474000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}","{""during_time"":""10807"",""item"":null,""item_type"":null,""last_page_id"":""home"",""page_id"":""search"",""source_type"":null}",,,,,1592103475000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}","{""during_time"":""5507"",""item"":""电视"",""item_type"":""keyword"",""last_page_id"":""search"",""page_id"":""good_list"",""source_type"":null}",,"[{""display_type"":""recommend"",""item"":""12"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""2""},{""display_type"":""query"",""item"":""8"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""4""},{""display_type"":""query"",""item"":""7"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""1""},{""display_type"":""recommend"",""item"":""4"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""2""},{""display_type"":""query"",""item"":""30"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""35"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""5""},{""display_type"":""recommend"",""item"":""22"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""2""},{""display_type"":""query"",""item"":""22"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""2""},{""display_type"":""query"",""item"":""13"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""2""},{""display_type"":""query"",""item"":""35"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""1""}]",,,1592103476000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}","{""during_time"":""4617"",""item"":""2"",""item_type"":""sku_id"",""last_page_id"":""good_list"",""page_id"":""good_detail"",""source_type"":""query""}","[{""action_id"":""get_coupon"",""item"":""2"",""item_type"":""coupon_id"",""ts"":1592103479308}]","[{""display_type"":""promotion"",""item"":""35"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""2""},{""display_type"":""query"",""item"":""23"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""5""},{""display_type"":""query"",""item"":""30"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""19"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""1""},{""display_type"":""query"",""item"":""9"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""5""},{""display_type"":""query"",""item"":""17"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""13"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""2""}]",,,1592103477000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}","{""during_time"":""1633"",""item"":null,""item_type"":null,""last_page_id"":""good_detail"",""page_id"":""login"",""source_type"":null}",,,,,1592103478000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}","{""during_time"":""8463"",""item"":null,""item_type"":null,""last_page_id"":""login"",""page_id"":""register"",""source_type"":null}",,,,,1592103479000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}","{""during_time"":""5882"",""item"":""3"",""item_type"":""sku_id"",""last_page_id"":""register"",""page_id"":""good_detail"",""source_type"":""query""}","[{""action_id"":""cart_add"",""item"":""3"",""item_type"":""sku_id"",""ts"":1592103482941}]","[{""display_type"":""query"",""item"":""4"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""4""},{""display_type"":""query"",""item"":""20"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""5""},{""display_type"":""query"",""item"":""35"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""3""},{""display_type"":""query"",""item"":""16"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""5""},{""display_type"":""promotion"",""item"":""3"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""5""},{""display_type"":""promotion"",""item"":""15"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""1""},{""display_type"":""query"",""item"":""8"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""4""},{""display_type"":""query"",""item"":""31"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""2""},{""display_type"":""query"",""item"":""24"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""5""},{""display_type"":""recommend"",""item"":""11"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""4""}]",,,1592103480000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}","{""during_time"":""18744"",""item"":null,""item_type"":null,""last_page_id"":""good_detail"",""page_id"":""cart"",""source_type"":null}",,,,,1592103481000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}","{""during_time"":""2979"",""item"":""5"",""item_type"":""sku_ids"",""last_page_id"":""cart"",""page_id"":""trade"",""source_type"":null}",,,,,1592103482000,2020-06-14
"{""ar"":""230000"",""ba"":""Xiaomi"",""ch"":""web"",""is_new"":""0"",""md"":""Xiaomi 10 Pro "",""mid"":""mid_869416"",""os"":""Android 11.0"",""uid"":""467"",""vc"":""v2.1.134""}","{""during_time"":""11742"",""item"":""17"",""item_type"":""sku_ids"",""last_page_id"":""trade"",""page_id"":""payment"",""source_type"":null}",,,,,1592103483000,2020-06-14
"{""ar"":""440000"",""ba"":""Sumsung"",""ch"":""xiaomi"",""is_new"":""0"",""md"":""Sumsung Galaxy S20"",""mid"":""mid_734067"",""os"":""Android 11.0"",""uid"":""923"",""vc"":""v2.1.134""}",,,,"{""entry"":""icon"",""loading_time"":7944,""open_ad_id"":12,""open_ad_ms"":3836,""open_ad_skip_ms"":3392}",,1592103475000,2020-06-14
"{""ar"":""440000"",""ba"":""Sumsung"",""ch"":""xiaomi"",""is_new"":""0"",""md"":""Sumsung Galaxy S20"",""mid"":""mid_734067"",""os"":""Android 11.0"",""uid"":""923"",""vc"":""v2.1.134""}","{""during_time"":""8834"",""item"":null,""item_type"":null,""last_page_id"":null,""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""1"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""3""},{""display_type"":""query"",""item"":""19"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""5""},{""display_type"":""query"",""item"":""27"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""4""},{""display_type"":""query"",""item"":""10"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""1""},{""display_type"":""query"",""item"":""21"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""4""},{""display_type"":""query"",""item"":""23"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""5""},{""display_type"":""query"",""item"":""9"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""14"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""2""},{""display_type"":""query"",""item"":""34"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""4""},{""display_type"":""query"",""item"":""3"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""4""},{""display_type"":""query"",""item"":""9"",""item_type"":""sku_id"",""order"":""11"",""pos_id"":""5""}]",,,1592103475000,2020-06-14
"{""ar"":""440000"",""ba"":""Sumsung"",""ch"":""xiaomi"",""is_new"":""0"",""md"":""Sumsung Galaxy S20"",""mid"":""mid_734067"",""os"":""Android 11.0"",""uid"":""923"",""vc"":""v2.1.134""}","{""during_time"":""18448"",""item"":""29"",""item_type"":""sku_id"",""last_page_id"":""home"",""page_id"":""good_detail"",""source_type"":""query""}","[{""action_id"":""favor_add"",""item"":""29"",""item_type"":""sku_id"",""ts"":1592103480612},{""action_id"":""cart_add"",""item"":""29"",""item_type"":""sku_id"",""ts"":1592103485224},{""action_id"":""get_coupon"",""item"":""2"",""item_type"":""coupon_id"",""ts"":1592103489836}]","[{""display_type"":""query"",""item"":""33"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""6"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""3""},{""display_type"":""query"",""item"":""6"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""3""},{""display_type"":""promotion"",""item"":""33"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""1""},{""display_type"":""query"",""item"":""3"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""3""}]",,,1592103476000,2020-06-14
"{""ar"":""110000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""0"",""md"":""iPhone Xs"",""mid"":""mid_6527"",""os"":""iOS 13.3.1"",""uid"":""859"",""vc"":""v2.1.134""}",,,,"{""entry"":""notice"",""loading_time"":5505,""open_ad_id"":13,""open_ad_ms"":7649,""open_ad_skip_ms"":7475}",,1592103475000,2020-06-14
"{""ar"":""110000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""0"",""md"":""iPhone Xs"",""mid"":""mid_6527"",""os"":""iOS 13.3.1"",""uid"":""859"",""vc"":""v2.1.134""}","{""during_time"":""6521"",""item"":null,""item_type"":null,""last_page_id"":null,""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""1"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""2""},{""display_type"":""activity"",""item"":""1"",""item_type"":""activity_id"",""order"":""2"",""pos_id"":""2""},{""display_type"":""query"",""item"":""23"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""5""},{""display_type"":""query"",""item"":""19"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""4""},{""display_type"":""query"",""item"":""28"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""2""},{""display_type"":""recommend"",""item"":""30"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""1""},{""display_type"":""query"",""item"":""12"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""8"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""3""},{""display_type"":""query"",""item"":""13"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""17"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""5""},{""display_type"":""promotion"",""item"":""25"",""item_type"":""sku_id"",""order"":""11"",""pos_id"":""1""},{""display_type"":""query"",""item"":""32"",""item_type"":""sku_id"",""order"":""12"",""pos_id"":""2""}]",,,1592103475000,2020-06-14
"{""ar"":""110000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""0"",""md"":""iPhone Xs"",""mid"":""mid_6527"",""os"":""iOS 13.3.1"",""uid"":""859"",""vc"":""v2.1.134""}","{""during_time"":""19451"",""item"":null,""item_type"":null,""last_page_id"":""home"",""page_id"":""search"",""source_type"":null}",,,,,1592103476000,2020-06-14
"{""ar"":""110000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""0"",""md"":""iPhone Xs"",""mid"":""mid_6527"",""os"":""iOS 13.3.1"",""uid"":""859"",""vc"":""v2.1.134""}","{""during_time"":""10154"",""item"":""ps5"",""item_type"":""keyword"",""last_page_id"":""search"",""page_id"":""good_list"",""source_type"":null}",,"[{""display_type"":""query"",""item"":""28"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""4""},{""display_type"":""query"",""item"":""8"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""5""},{""display_type"":""query"",""item"":""4"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""4""},{""display_type"":""query"",""item"":""24"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""1""},{""display_type"":""query"",""item"":""28"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""3""},{""display_type"":""query"",""item"":""6"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""3""},{""display_type"":""query"",""item"":""13"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""3""},{""display_type"":""promotion"",""item"":""8"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""3""}]",,,1592103477000,2020-06-14
