mid_id,brand,model,operate_system,page_id,during_time_1d,view_count_1d,dt
mid_508054,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_detail,22401,2,2020-06-14
mid_442404,Xiaomi,Xiaomi 9,Android 10.0,good_list,8021,1,2020-06-14
mid_606239,iPhone,iPhone 8,iOS 13.3.1,search,8931,1,2020-06-14
mid_740318,Huawei,Huawei P30,Android 11.0,good_list,15111,1,2020-06-14
mid_54253,Xiaomi,Xiaomi Mix2 ,Android 10.0,home,13936,1,2020-06-14
mid_865156,Xiaomi,Xiaomi 10 Pro ,Android 10.0,good_list,12555,1,2020-06-14
mid_575214,vivo,vivo iqoo3,Android 9.0,good_detail,12116,2,2020-06-14
mid_308385,iPhone,iPhone X,iOS 13.3.1,payment,4268,1,2020-06-14
mid_567781,iPhone,iPhone Xs,iOS 13.3.1,search,14575,1,2020-06-14
mid_763219,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_detail,5846,1,2020-06-14
mid_755931,iPhone,iPhone Xs,iOS 13.3.1,trade,13486,1,2020-06-14
mid_73498,iPhone,iPhone Xs Max,iOS 13.3.1,trade,8887,1,2020-06-14
mid_845581,iPhone,iPhone X,iOS 13.3.1,good_detail,8414,1,2020-06-14
mid_890093,Xiaomi,Xiaomi 9,Android 11.0,good_detail,12435,1,2020-06-14
mid_227439,Honor,Honor 20s,Android 11.0,good_spec,1075,1,2020-06-14
mid_432871,iPhone,iPhone Xs Max,iOS 13.2.9,good_detail,20549,2,2020-06-14
mid_729137,iPhone,iPhone Xs Max,iOS 13.3.1,home,12668,1,2020-06-14
mid_773467,Xiaomi,Xiaomi 10 Pro ,Android 10.0,orders_unpaid,7859,1,2020-06-14
mid_755931,iPhone,iPhone Xs,iOS 13.3.1,search,19007,1,2020-06-14
mid_167841,Xiaomi,Xiaomi 10 Pro ,Android 11.0,cart,6561,1,2020-06-14
mid_182409,Oneplus,Oneplus 7,Android 8.1,register,4580,1,2020-06-14
mid_145732,Redmi,Redmi k30,Android 11.0,trade,17878,1,2020-06-14
mid_824664,iPhone,iPhone X,iOS 13.3.1,orders_unpaid,5680,1,2020-06-14
mid_668009,Xiaomi,Xiaomi Mix2 ,Android 10.0,mine,18567,1,2020-06-14
mid_813318,iPhone,iPhone Xs,iOS 13.3.1,trade,12096,1,2020-06-14
mid_698558,Xiaomi,Xiaomi Mix2 ,Android 10.0,cart,14845,1,2020-06-14
mid_87553,Xiaomi,Xiaomi Mix2 ,Android 11.0,payment,8906,1,2020-06-14
mid_804087,Xiaomi,Xiaomi 9,Android 11.0,payment,9331,1,2020-06-14
mid_265440,Xiaomi,Xiaomi 10 Pro ,Android 10.0,cart,9163,1,2020-06-14
mid_307674,Xiaomi,Xiaomi 9,Android 11.0,home,16319,1,2020-06-14
mid_525006,iPhone,iPhone Xs,iOS 13.3.1,good_list,10232,1,2020-06-14
mid_527572,iPhone,iPhone 8,iOS 13.2.3,login,7171,1,2020-06-14
mid_452562,Huawei,Huawei Mate 30,Android 11.0,home,18736,1,2020-06-14
mid_72753,Xiaomi,Xiaomi Mix2 ,Android 11.0,login,6126,1,2020-06-14
mid_237135,vivo,vivo iqoo3,Android 11.0,trade,15448,1,2020-06-14
mid_529623,Xiaomi,Xiaomi 10 Pro ,Android 11.0,login,9566,1,2020-06-14
mid_511558,Xiaomi,Xiaomi 10 Pro ,Android 10.0,mine,12179,1,2020-06-14
mid_119039,iPhone,iPhone Xs,iOS 13.2.9,payment,5585,1,2020-06-14
mid_770456,Xiaomi,Xiaomi 10 Pro ,Android 11.0,mine,18431,1,2020-06-14
mid_726758,iPhone,iPhone X,iOS 13.3.1,trade,15901,1,2020-06-14
mid_466033,Xiaomi,Xiaomi Mix2 ,Android 11.0,trade,8457,1,2020-06-14
mid_844247,iPhone,iPhone 8,iOS 13.2.9,payment,18154,1,2020-06-14
mid_226014,Xiaomi,Xiaomi Mix2 ,Android 9.0,home,16462,1,2020-06-14
mid_170887,Huawei,Huawei P30,Android 11.0,good_list,19693,1,2020-06-14
mid_894357,Xiaomi,Xiaomi 10 Pro ,Android 11.0,cart,17026,1,2020-06-14
mid_782870,iPhone,iPhone Xs Max,iOS 13.3.1,login,16265,1,2020-06-14
mid_992788,Huawei,Huawei P30,Android 11.0,good_spec,11115,1,2020-06-14
mid_860997,Huawei,Huawei P30,Android 11.0,good_list,9458,1,2020-06-14
mid_975700,vivo,vivo iqoo3,Android 11.0,home,8313,1,2020-06-14
mid_667358,Xiaomi,Xiaomi 9,Android 10.0,cart,3331,1,2020-06-14
mid_750432,iPhone,iPhone X,iOS 12.4.1,good_detail,32437,2,2020-06-14
mid_484460,Huawei,Huawei P30,Android 11.0,home,26510,2,2020-06-14
mid_805461,Xiaomi,Xiaomi 9,Android 11.0,home,14648,1,2020-06-14
mid_782870,iPhone,iPhone Xs Max,iOS 13.3.1,good_detail,22639,2,2020-06-14
mid_881029,iPhone,iPhone X,iOS 13.3.1,payment,5998,1,2020-06-14
mid_803497,iPhone,iPhone Xs,iOS 13.2.3,cart,11361,1,2020-06-14
mid_174101,Oneplus,Oneplus 7,Android 11.0,trade,9472,1,2020-06-14
mid_350212,iPhone,iPhone 8,iOS 13.3.1,trade,15388,1,2020-06-14
mid_620745,vivo,vivo iqoo3,Android 10.0,good_list,10709,1,2020-06-14
mid_774526,Huawei,Huawei P30,Android 10.0,search,6798,1,2020-06-14
mid_476136,vivo,vivo iqoo3,Android 11.0,home,19719,1,2020-06-14
mid_266356,Xiaomi,Xiaomi 10 Pro ,Android 11.0,payment,1455,1,2020-06-14
mid_60124,iPhone,iPhone 8,iOS 13.3.1,register,8717,1,2020-06-14
mid_300061,iPhone,iPhone Xs Max,iOS 13.2.9,home,1763,1,2020-06-14
mid_86511,Huawei,Huawei Mate 30,Android 11.0,trade,3664,1,2020-06-14
mid_739831,iPhone,iPhone Xs,iOS 13.3.1,search,13523,1,2020-06-14
mid_860390,iPhone,iPhone Xs Max,iOS 13.2.9,home,9032,2,2020-06-14
mid_458694,Xiaomi,Xiaomi 9,Android 11.0,home,5971,1,2020-06-14
mid_37784,Xiaomi,Xiaomi Mix2 ,Android 11.0,home,12862,1,2020-06-14
mid_909430,Xiaomi,Xiaomi Mix2 ,Android 11.0,cart,3938,1,2020-06-14
mid_937376,iPhone,iPhone X,iOS 13.3.1,good_detail,16843,1,2020-06-14
mid_643319,Xiaomi,Xiaomi 10 Pro ,Android 11.0,comment,11489,1,2020-06-14
mid_813318,iPhone,iPhone Xs,iOS 13.3.1,register,2943,1,2020-06-14
mid_168913,iPhone,iPhone X,iOS 13.3.1,login,12350,1,2020-06-14
mid_456101,Xiaomi,Xiaomi Mix2 ,Android 11.0,cart,14422,1,2020-06-14
mid_623769,iPhone,iPhone Xs Max,iOS 13.2.3,cart,17870,1,2020-06-14
mid_547535,iPhone,iPhone Xs Max,iOS 13.3.1,home,10935,1,2020-06-14
mid_434692,iPhone,iPhone Xs,iOS 13.2.3,home,3686,1,2020-06-14
mid_354106,Xiaomi,Xiaomi 10 Pro ,Android 11.0,home,1964,1,2020-06-14
mid_145732,Redmi,Redmi k30,Android 11.0,cart,19563,1,2020-06-14
mid_308385,iPhone,iPhone X,iOS 13.3.1,trade,3215,1,2020-06-14
mid_865156,Xiaomi,Xiaomi 10 Pro ,Android 10.0,payment,5725,1,2020-06-14
mid_258696,vivo,vivo iqoo3,Android 11.0,home,16195,1,2020-06-14
mid_14568,vivo,vivo iqoo3,Android 11.0,cart,6136,1,2020-06-14
mid_685366,Xiaomi,Xiaomi Mix2 ,Android 11.0,login,15404,1,2020-06-14
mid_770456,Xiaomi,Xiaomi 10 Pro ,Android 11.0,payment,9123,1,2020-06-14
mid_547535,iPhone,iPhone Xs Max,iOS 13.3.1,payment,9453,1,2020-06-14
mid_946143,Xiaomi,Xiaomi Mix2 ,Android 11.0,mine,5163,1,2020-06-14
mid_354106,Xiaomi,Xiaomi 10 Pro ,Android 11.0,login,1672,1,2020-06-14
mid_729137,iPhone,iPhone Xs Max,iOS 13.3.1,cart,9381,1,2020-06-14
mid_332519,vivo,vivo iqoo3,Android 11.0,good_detail,22245,2,2020-06-14
mid_587275,Redmi,Redmi k30,Android 11.0,home,17880,1,2020-06-14
mid_572513,Xiaomi,Xiaomi 9,Android 10.0,search,3818,1,2020-06-14
mid_247809,Xiaomi,Xiaomi 9,Android 10.0,good_detail,11655,1,2020-06-14
mid_385711,Sumsung,Sumsung Galaxy S20,Android 11.0,payment,10919,1,2020-06-14
mid_256454,Xiaomi,Xiaomi 9,Android 11.0,register,9717,1,2020-06-14
mid_86511,Huawei,Huawei Mate 30,Android 11.0,payment,8890,1,2020-06-14
mid_572513,Xiaomi,Xiaomi 9,Android 10.0,good_list,3311,1,2020-06-14
mid_557057,Redmi,Redmi k30,Android 11.0,mine,1147,1,2020-06-14
mid_681084,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_list,18814,1,2020-06-14
mid_237135,vivo,vivo iqoo3,Android 11.0,good_detail,33796,2,2020-06-14
mid_788907,Xiaomi,Xiaomi 10 Pro ,Android 11.0,home,4984,1,2020-06-14
mid_140673,iPhone,iPhone Xs Max,iOS 13.3.1,cart,9359,1,2020-06-14
mid_542952,Redmi,Redmi k30,Android 11.0,payment,10626,1,2020-06-14
mid_681084,Xiaomi,Xiaomi Mix2 ,Android 11.0,login,19938,1,2020-06-14
mid_379510,Xiaomi,Xiaomi Mix2 ,Android 11.0,home,6799,1,2020-06-14
mid_937376,iPhone,iPhone X,iOS 13.3.1,home,2421,1,2020-06-14
mid_670474,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_detail,33422,2,2020-06-14
mid_941313,Xiaomi,Xiaomi 9,Android 11.0,trade,1006,1,2020-06-14
mid_699098,iPhone,iPhone Xs,iOS 13.3.1,home,17905,1,2020-06-14
mid_670474,Xiaomi,Xiaomi Mix2 ,Android 11.0,trade,19567,1,2020-06-14
mid_27278,iPhone,iPhone X,iOS 13.3.1,trade,19927,1,2020-06-14
mid_845581,iPhone,iPhone X,iOS 13.3.1,home,12131,1,2020-06-14
mid_658232,iPhone,iPhone 8,iOS 13.3.1,orders_unpaid,14287,1,2020-06-14
mid_860997,Huawei,Huawei P30,Android 11.0,good_detail,2711,2,2020-06-14
mid_456101,Xiaomi,Xiaomi Mix2 ,Android 11.0,payment,19684,1,2020-06-14
mid_94075,vivo,vivo iqoo3,Android 10.0,login,13901,1,2020-06-14
mid_948589,iPhone,iPhone 8,iOS 13.2.9,trade,13165,1,2020-06-14
mid_222445,Huawei,Huawei P30,Android 11.0,home,18496,1,2020-06-14
mid_49530,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_detail,10397,1,2020-06-14
mid_890093,Xiaomi,Xiaomi 9,Android 11.0,comment,14109,1,2020-06-14
mid_215460,Sumsung,Sumsung Galaxy S20,Android 11.0,good_list,11347,1,2020-06-14
mid_698558,Xiaomi,Xiaomi Mix2 ,Android 10.0,good_list,4991,1,2020-06-14
mid_842303,Xiaomi,Xiaomi 9,Android 11.0,search,6093,1,2020-06-14
mid_812468,Xiaomi,Xiaomi Mix2 ,Android 11.0,login,6966,1,2020-06-14
mid_285818,iPhone,iPhone Xs,iOS 13.2.9,home,9030,1,2020-06-14
mid_834684,iPhone,iPhone X,iOS 13.3.1,good_list,7493,1,2020-06-14
mid_774526,Huawei,Huawei P30,Android 10.0,good_list,13348,1,2020-06-14
mid_363179,iPhone,iPhone Xs,iOS 13.2.9,login,19287,1,2020-06-14
mid_184672,iPhone,iPhone Xs,iOS 13.3.1,trade,10606,1,2020-06-14
mid_924530,iPhone,iPhone Xs Max,iOS 13.2.3,home,12709,1,2020-06-14
mid_869416,Xiaomi,Xiaomi 10 Pro ,Android 11.0,cart,18744,1,2020-06-14
mid_56429,Huawei,Huawei Mate 30,Android 11.0,orders_unpaid,8046,1,2020-06-14
mid_168343,iPhone,iPhone 8,iOS 13.2.9,mine,17290,1,2020-06-14
mid_947547,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_detail,4027,1,2020-06-14
mid_632934,Oneplus,Oneplus 7,Android 11.0,mine,5133,1,2020-06-14
mid_547535,iPhone,iPhone Xs Max,iOS 13.3.1,trade,18107,1,2020-06-14
mid_262094,Oneplus,Oneplus 7,Android 11.0,login,10834,1,2020-06-14
mid_412165,iPhone,iPhone Xs Max,iOS 13.2.9,payment,1461,1,2020-06-14
mid_557057,Redmi,Redmi k30,Android 11.0,orders_unpaid,7282,1,2020-06-14
mid_691280,Redmi,Redmi k30,Android 11.0,login,19140,1,2020-06-14
mid_388015,Xiaomi,Xiaomi 9,Android 11.0,good_detail,12821,1,2020-06-14
mid_804087,Xiaomi,Xiaomi 9,Android 11.0,login,6387,1,2020-06-14
mid_363179,iPhone,iPhone Xs,iOS 13.2.9,trade,1457,1,2020-06-14
mid_978807,Oneplus,Oneplus 7,Android 10.0,register,11724,1,2020-06-14
mid_112097,Xiaomi,Xiaomi 9,Android 8.1,login,1330,1,2020-06-14
mid_750432,iPhone,iPhone X,iOS 12.4.1,good_list,9540,1,2020-06-14
mid_512550,Sumsung,Sumsung Galaxy S20,Android 11.0,payment,13997,1,2020-06-14
mid_363179,iPhone,iPhone Xs,iOS 13.2.9,good_detail,29990,2,2020-06-14
mid_812468,Xiaomi,Xiaomi Mix2 ,Android 11.0,register,16457,1,2020-06-14
mid_681011,Xiaomi,Xiaomi 9,Android 8.1,home,3375,1,2020-06-14
mid_848372,Huawei,Huawei Mate 30,Android 9.0,mine,11842,1,2020-06-14
mid_484460,Huawei,Huawei P30,Android 11.0,comment,12000,1,2020-06-14
mid_21411,iPhone,iPhone Xs,iOS 13.2.3,login,10328,1,2020-06-14
mid_625994,Xiaomi,Xiaomi 10 Pro ,Android 10.0,login,3446,1,2020-06-14
mid_480813,Xiaomi,Xiaomi 10 Pro ,Android 11.0,mine,15668,1,2020-06-14
mid_687994,iPhone,iPhone Xs,iOS 13.2.9,trade,17596,1,2020-06-14
mid_746344,Xiaomi,Xiaomi Mix2 ,Android 10.0,good_detail,13453,2,2020-06-14
mid_231033,Xiaomi,Xiaomi 9,Android 11.0,login,17582,1,2020-06-14
mid_412142,Huawei,Huawei P30,Android 11.0,home,1205,1,2020-06-14
mid_366705,vivo,vivo iqoo3,Android 11.0,good_detail,20977,2,2020-06-14
mid_606239,iPhone,iPhone 8,iOS 13.3.1,payment,8811,1,2020-06-14
mid_174101,Oneplus,Oneplus 7,Android 11.0,good_detail,35523,2,2020-06-14
mid_21352,Redmi,Redmi k30,Android 11.0,home,7443,1,2020-06-14
mid_452562,Huawei,Huawei Mate 30,Android 11.0,good_detail,7872,1,2020-06-14
mid_714743,Honor,Honor 20s,Android 11.0,good_list,8630,1,2020-06-14
mid_865971,Xiaomi,Xiaomi 10 Pro ,Android 11.0,search,7729,1,2020-06-14
mid_567149,iPhone,iPhone X,iOS 13.3.1,trade,16132,1,2020-06-14
mid_952217,vivo,vivo iqoo3,Android 10.0,trade,9399,1,2020-06-14
mid_906849,Xiaomi,Xiaomi 10 Pro ,Android 10.0,payment,5354,1,2020-06-14
mid_53557,Xiaomi,Xiaomi Mix2 ,Android 10.0,good_detail,29748,2,2020-06-14
mid_588471,Xiaomi,Xiaomi 9,Android 8.1,trade,6378,1,2020-06-14
mid_515485,iPhone,iPhone X,iOS 12.4.1,search,19725,1,2020-06-14
mid_266356,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_list,13385,1,2020-06-14
mid_6527,iPhone,iPhone Xs,iOS 13.3.1,cart,9045,1,2020-06-14
mid_803497,iPhone,iPhone Xs,iOS 13.2.3,register,8561,1,2020-06-14
mid_527572,iPhone,iPhone 8,iOS 13.2.3,trade,5207,1,2020-06-14
mid_668009,Xiaomi,Xiaomi Mix2 ,Android 10.0,payment,14293,1,2020-06-14
mid_644984,Xiaomi,Xiaomi 9,Android 11.0,login,4598,1,2020-06-14
mid_67386,Xiaomi,Xiaomi 10 Pro ,Android 10.0,login,12087,1,2020-06-14
mid_556385,Xiaomi,Xiaomi 9,Android 11.0,trade,6678,1,2020-06-14
mid_845581,iPhone,iPhone X,iOS 13.3.1,cart,7353,1,2020-06-14
mid_776507,iPhone,iPhone 8,iOS 13.3.1,home,13770,1,2020-06-14
mid_161048,iPhone,iPhone X,iOS 13.3.1,trade,7195,1,2020-06-14
mid_575214,vivo,vivo iqoo3,Android 9.0,login,9555,1,2020-06-14
mid_480813,Xiaomi,Xiaomi 10 Pro ,Android 11.0,trade,2969,1,2020-06-14
mid_746344,Xiaomi,Xiaomi Mix2 ,Android 10.0,home,9067,1,2020-06-14
mid_72753,Xiaomi,Xiaomi Mix2 ,Android 11.0,home,2295,1,2020-06-14
mid_572513,Xiaomi,Xiaomi 9,Android 10.0,home,9787,1,2020-06-14
mid_170887,Huawei,Huawei P30,Android 11.0,trade,19603,1,2020-06-14
mid_222870,Xiaomi,Xiaomi Mix2 ,Android 11.0,comment,17461,1,2020-06-14
mid_750569,Oneplus,Oneplus 7,Android 9.0,good_detail,27338,2,2020-06-14
mid_567149,iPhone,iPhone X,iOS 13.3.1,home,14464,1,2020-06-14
mid_886240,Xiaomi,Xiaomi 10 Pro ,Android 11.0,cart,10962,1,2020-06-14
mid_556385,Xiaomi,Xiaomi 9,Android 11.0,good_list,17294,1,2020-06-14
mid_182409,Oneplus,Oneplus 7,Android 8.1,login,18811,1,2020-06-14
mid_605838,vivo,vivo iqoo3,Android 11.0,trade,9065,1,2020-06-14
mid_404809,Oneplus,Oneplus 7,Android 11.0,good_list,17419,1,2020-06-14
mid_226014,Xiaomi,Xiaomi Mix2 ,Android 9.0,payment,5665,1,2020-06-14
mid_56429,Huawei,Huawei Mate 30,Android 11.0,comment,2955,1,2020-06-14
mid_23052,iPhone,iPhone X,iOS 13.2.9,payment,2691,1,2020-06-14
mid_412142,Huawei,Huawei P30,Android 11.0,login,2160,1,2020-06-14
mid_729137,iPhone,iPhone Xs Max,iOS 13.3.1,register,5158,1,2020-06-14
mid_49530,Xiaomi,Xiaomi Mix2 ,Android 11.0,cart,13137,1,2020-06-14
mid_388995,Xiaomi,Xiaomi 10 Pro ,Android 10.0,home,7138,1,2020-06-14
mid_811399,iPhone,iPhone 8,iOS 13.2.9,login,19723,1,2020-06-14
mid_253895,vivo,vivo iqoo3,Android 10.0,payment,6850,1,2020-06-14
mid_759465,iPhone,iPhone X,iOS 13.3.1,good_spec,4047,1,2020-06-14
mid_746344,Xiaomi,Xiaomi Mix2 ,Android 10.0,cart,2197,1,2020-06-14
mid_191306,Xiaomi,Xiaomi 9,Android 11.0,register,1806,1,2020-06-14
mid_174122,vivo,vivo iqoo3,Android 11.0,home,8069,1,2020-06-14
mid_913092,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_detail,9512,2,2020-06-14
mid_363179,iPhone,iPhone Xs,iOS 13.2.9,payment,11849,1,2020-06-14
mid_6625,iPhone,iPhone 8,iOS 13.3.1,good_list,17700,1,2020-06-14
mid_236937,iPhone,iPhone X,iOS 13.3.1,search,10974,1,2020-06-14
mid_667358,Xiaomi,Xiaomi 9,Android 10.0,home,5043,1,2020-06-14
mid_119039,iPhone,iPhone Xs,iOS 13.2.9,trade,4292,1,2020-06-14
mid_69587,iPhone,iPhone X,iOS 12.4.1,home,10406,1,2020-06-14
mid_625994,Xiaomi,Xiaomi 10 Pro ,Android 10.0,trade,17244,1,2020-06-14
mid_788808,Xiaomi,Xiaomi 10 Pro ,Android 10.0,good_detail,26685,2,2020-06-14
mid_842303,Xiaomi,Xiaomi 9,Android 11.0,payment,2910,1,2020-06-14
mid_547535,iPhone,iPhone Xs Max,iOS 13.3.1,good_spec,2969,1,2020-06-14
mid_266408,vivo,vivo iqoo3,Android 11.0,good_list,1968,1,2020-06-14
mid_627113,Xiaomi,Xiaomi 10 Pro ,Android 11.0,payment,1395,1,2020-06-14
mid_927895,iPhone,iPhone Xs Max,iOS 13.3.1,good_detail,4032,1,2020-06-14
mid_894357,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_list,18217,1,2020-06-14
mid_557057,Redmi,Redmi k30,Android 11.0,trade,1069,1,2020-06-14
mid_593748,Oneplus,Oneplus 7,Android 11.0,home,7055,1,2020-06-14
mid_756104,Xiaomi,Xiaomi Mix2 ,Android 11.0,trade,3361,1,2020-06-14
mid_477957,Xiaomi,Xiaomi Mix2 ,Android 11.0,home,22764,2,2020-06-14
mid_308385,iPhone,iPhone X,iOS 13.3.1,home,5071,1,2020-06-14
mid_847145,iPhone,iPhone Xs Max,iOS 13.3.1,good_list,10363,1,2020-06-14
mid_107961,Xiaomi,Xiaomi Mix2 ,Android 10.0,good_detail,7835,1,2020-06-14
mid_247809,Xiaomi,Xiaomi 9,Android 10.0,trade,16683,1,2020-06-14
mid_811399,iPhone,iPhone 8,iOS 13.2.9,home,15645,1,2020-06-14
mid_853715,Xiaomi,Xiaomi 10 Pro ,Android 10.0,good_detail,4169,1,2020-06-14
mid_170023,Oneplus,Oneplus 7,Android 11.0,cart,19561,1,2020-06-14
mid_466033,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_detail,6440,2,2020-06-14
mid_38556,Xiaomi,Xiaomi 9,Android 10.0,good_detail,21676,2,2020-06-14
mid_936689,iPhone,iPhone Xs,iOS 13.2.9,payment,15949,1,2020-06-14
mid_412165,iPhone,iPhone Xs Max,iOS 13.2.9,cart,6185,1,2020-06-14
mid_913092,Xiaomi,Xiaomi 10 Pro ,Android 11.0,trade,5411,1,2020-06-14
mid_856214,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_list,18825,1,2020-06-14
mid_860997,Huawei,Huawei P30,Android 11.0,trade,8882,1,2020-06-14
mid_282399,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_list,18857,1,2020-06-14
mid_766277,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_list,7734,1,2020-06-14
mid_757617,Honor,Honor 20s,Android 10.0,good_detail,17619,2,2020-06-14
mid_685366,Xiaomi,Xiaomi Mix2 ,Android 11.0,cart,3912,1,2020-06-14
mid_810380,iPhone,iPhone Xs Max,iOS 13.2.9,home,9997,1,2020-06-14
mid_685016,iPhone,iPhone X,iOS 13.3.1,cart,5589,1,2020-06-14
mid_434448,vivo,vivo iqoo3,Android 11.0,orders_unpaid,5214,1,2020-06-14
mid_340499,iPhone,iPhone X,iOS 13.2.9,trade,2917,1,2020-06-14
mid_215460,Sumsung,Sumsung Galaxy S20,Android 11.0,good_detail,17192,2,2020-06-14
mid_27278,iPhone,iPhone X,iOS 13.3.1,good_detail,11049,1,2020-06-14
mid_107961,Xiaomi,Xiaomi Mix2 ,Android 10.0,good_list,12935,1,2020-06-14
mid_574129,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_list,17805,1,2020-06-14
mid_906849,Xiaomi,Xiaomi 10 Pro ,Android 10.0,cart,2353,1,2020-06-14
mid_368792,Xiaomi,Xiaomi Mix2 ,Android 11.0,trade,16991,1,2020-06-14
mid_735524,Xiaomi,Xiaomi Mix2 ,Android 8.1,payment,7624,1,2020-06-14
mid_263345,Xiaomi,Xiaomi 10 Pro ,Android 11.0,home,11883,1,2020-06-14
mid_200292,Xiaomi,Xiaomi 9,Android 10.0,payment,1853,1,2020-06-14
mid_406739,Xiaomi,Xiaomi Mix2 ,Android 11.0,payment,6875,1,2020-06-14
mid_167841,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_detail,12851,2,2020-06-14
mid_600674,vivo,vivo iqoo3,Android 11.0,mine,12969,1,2020-06-14
mid_658232,iPhone,iPhone 8,iOS 13.3.1,mine,17485,1,2020-06-14
mid_634679,Redmi,Redmi k30,Android 11.0,orders_unpaid,14457,1,2020-06-14
mid_477127,iPhone,iPhone 8,iOS 13.3.1,home,1768,1,2020-06-14
mid_834048,vivo,vivo iqoo3,Android 11.0,payment,5914,1,2020-06-14
mid_587275,Redmi,Redmi k30,Android 11.0,payment,15279,1,2020-06-14
mid_766277,Xiaomi,Xiaomi 10 Pro ,Android 11.0,home,7820,1,2020-06-14
mid_941313,Xiaomi,Xiaomi 9,Android 11.0,cart,10221,1,2020-06-14
mid_283635,iPhone,iPhone 8,iOS 13.2.9,home,5651,1,2020-06-14
mid_961722,Oneplus,Oneplus 7,Android 11.0,good_list,14528,1,2020-06-14
mid_642376,Xiaomi,Xiaomi Mix2 ,Android 10.0,trade,18662,1,2020-06-14
mid_242141,Xiaomi,Xiaomi Mix2 ,Android 11.0,home,8133,1,2020-06-14
mid_881029,iPhone,iPhone X,iOS 13.3.1,search,9025,1,2020-06-14
mid_786210,Huawei,Huawei Mate 30,Android 11.0,good_list,9560,1,2020-06-14
mid_82292,vivo,vivo iqoo3,Android 11.0,good_list,7097,1,2020-06-14
mid_978807,Oneplus,Oneplus 7,Android 10.0,trade,16109,1,2020-06-14
mid_179065,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_list,2413,1,2020-06-14
mid_834048,vivo,vivo iqoo3,Android 11.0,cart,16339,1,2020-06-14
mid_703519,iPhone,iPhone Xs Max,iOS 13.3.1,good_detail,24791,2,2020-06-14
mid_283918,Xiaomi,Xiaomi 9,Android 11.0,search,16763,1,2020-06-14
mid_588471,Xiaomi,Xiaomi 9,Android 8.1,good_list,19396,1,2020-06-14
mid_170887,Huawei,Huawei P30,Android 11.0,cart,12293,1,2020-06-14
mid_786210,Huawei,Huawei Mate 30,Android 11.0,trade,6307,1,2020-06-14
