id,coupon_id,user_id,order_id,date_id,payment_time,dt
47122,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
47168,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
47422,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
47468,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
47722,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
47768,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
48022,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
48068,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
48322,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
48368,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
48622,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
48668,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
48683,3,86,6876,2020-06-14,2020-06-14 17:23:23,2020-06-14
48922,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
48968,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
48983,3,86,6876,2020-06-14,2020-06-14 17:23:23,2020-06-14
49222,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
49237,3,40,7074,2020-06-14,2020-06-14 17:23:23,2020-06-14
49268,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
49271,3,74,6984,2020-06-14,2020-06-14 17:23:23,2020-06-14
49283,3,86,6876,2020-06-14,2020-06-14 17:23:23,2020-06-14
49522,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
49537,3,40,7074,2020-06-14,2020-06-14 17:23:23,2020-06-14
49568,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
49571,3,74,6984,2020-06-14,2020-06-14 17:23:23,2020-06-14
49583,3,86,6876,2020-06-14,2020-06-14 17:23:23,2020-06-14
49822,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
49837,3,40,7074,2020-06-14,2020-06-14 17:23:23,2020-06-14
49868,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
49871,3,74,6984,2020-06-14,2020-06-14 17:23:23,2020-06-14
49883,3,86,6876,2020-06-14,2020-06-14 17:23:23,2020-06-14
50122,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
50137,3,40,7074,2020-06-14,2020-06-14 17:23:23,2020-06-14
50165,3,68,7075,2020-06-14,2020-06-14 17:23:23,2020-06-14
50168,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
50171,3,74,6984,2020-06-14,2020-06-14 17:23:23,2020-06-14
50183,3,86,6876,2020-06-14,2020-06-14 17:23:23,2020-06-14
45825,2,28,5045,2020-06-15,2020-06-15 11:08:56,2020-06-15
45920,3,23,5035,2020-06-15,2020-06-15 11:08:56,2020-06-15
46125,2,28,5045,2020-06-15,2020-06-15 11:08:56,2020-06-15
46220,3,23,5035,2020-06-15,2020-06-15 11:08:56,2020-06-15
46425,2,28,5045,2020-06-15,2020-06-15 11:08:56,2020-06-15
46518,3,21,5038,2020-06-15,2020-06-15 11:08:56,2020-06-15
46520,3,23,5035,2020-06-15,2020-06-15 11:08:56,2020-06-15
46725,2,28,5045,2020-06-15,2020-06-15 11:08:56,2020-06-15
46807,3,10,5044,2020-06-15,2020-06-15 11:08:56,2020-06-15
46818,3,21,5038,2020-06-15,2020-06-15 11:08:56,2020-06-15
46820,3,23,5035,2020-06-15,2020-06-15 11:08:56,2020-06-15
47025,2,28,5045,2020-06-15,2020-06-15 11:08:56,2020-06-15
47107,3,10,5044,2020-06-15,2020-06-15 11:08:56,2020-06-15
47118,3,21,5038,2020-06-15,2020-06-15 11:08:56,2020-06-15
47120,3,23,5035,2020-06-15,2020-06-15 11:08:56,2020-06-15
47325,2,28,5045,2020-06-15,2020-06-15 11:08:56,2020-06-15
47407,3,10,5044,2020-06-15,2020-06-15 11:08:56,2020-06-15
47418,3,21,5038,2020-06-15,2020-06-15 11:08:56,2020-06-15
47420,3,23,5035,2020-06-15,2020-06-15 11:08:56,2020-06-15
