mid_id,brand,model,operate_system,page_id,during_time_7d,view_count_7d,during_time_30d,view_count_30d,dt
mid_605838,vivo,vivo iqoo3,Android 11.0,good_detail,4705,1,4705,1,2020-06-14
mid_835022,Xiaomi,Xiaomi 10 Pro ,Android 10.0,payment,13999,1,13999,1,2020-06-14
mid_845581,iPhone,iPhone X,iOS 13.3.1,trade,18689,1,18689,1,2020-06-14
mid_763219,Xiaomi,Xiaomi 10 Pro ,Android 11.0,cart,4903,1,4903,1,2020-06-14
mid_699098,iPhone,iPhone Xs,iOS 13.3.1,search,6292,1,6292,1,2020-06-14
mid_512296,iPhone,iPhone X,iOS 13.2.9,home,12978,1,12978,1,2020-06-14
mid_741970,Xiaomi,Xiaomi 9,Android 8.1,payment,15515,1,15515,1,2020-06-14
mid_591908,vivo,vivo iqoo3,Android 11.0,good_detail,10544,1,10544,1,2020-06-14
mid_174101,Oneplus,Oneplus 7,Android 11.0,cart,4390,1,4390,1,2020-06-14
mid_627113,Xiaomi,Xiaomi 10 Pro ,Android 11.0,mine,17134,1,17134,1,2020-06-14
mid_278655,iPhone,iPhone Xs Max,iOS 13.2.3,orders_unpaid,14707,1,14707,1,2020-06-14
mid_297147,Xiaomi,Xiaomi 10 Pro ,Android 11.0,comment,10291,1,10291,1,2020-06-14
mid_805461,Xiaomi,Xiaomi 9,Android 11.0,login,15413,1,15413,1,2020-06-14
mid_54840,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_spec,1206,1,1206,1,2020-06-14
mid_389448,Xiaomi,Xiaomi 9,Android 11.0,good_detail,10298,1,10298,1,2020-06-14
mid_21411,iPhone,iPhone Xs,iOS 13.2.3,trade,12225,1,12225,1,2020-06-14
mid_567149,iPhone,iPhone X,iOS 13.3.1,trade,16132,1,16132,1,2020-06-14
mid_81367,Xiaomi,Xiaomi Mix2 ,Android 8.1,search,3769,1,3769,1,2020-06-14
mid_750569,Oneplus,Oneplus 7,Android 9.0,home,12902,1,12902,1,2020-06-14
mid_269442,iPhone,iPhone X,iOS 13.3.1,trade,9096,1,9096,1,2020-06-14
mid_37784,Xiaomi,Xiaomi Mix2 ,Android 11.0,trade,4672,1,4672,1,2020-06-14
mid_161048,iPhone,iPhone X,iOS 13.3.1,trade,7195,1,7195,1,2020-06-14
mid_952217,vivo,vivo iqoo3,Android 10.0,trade,9399,1,9399,1,2020-06-14
mid_434692,iPhone,iPhone Xs,iOS 13.2.3,login,14664,1,14664,1,2020-06-14
mid_396865,Huawei,Huawei Mate 30,Android 10.0,good_list,4003,1,4003,1,2020-06-14
mid_73498,iPhone,iPhone Xs Max,iOS 13.3.1,good_detail,18978,2,18978,2,2020-06-14
mid_354106,Xiaomi,Xiaomi 10 Pro ,Android 11.0,cart,13395,1,13395,1,2020-06-14
mid_886240,Xiaomi,Xiaomi 10 Pro ,Android 11.0,cart,10962,1,10962,1,2020-06-14
mid_670474,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_detail,33422,2,33422,2,2020-06-14
mid_574129,Xiaomi,Xiaomi 10 Pro ,Android 11.0,trade,5133,1,5133,1,2020-06-14
mid_363179,iPhone,iPhone Xs,iOS 13.2.9,cart,18870,1,18870,1,2020-06-14
mid_412165,iPhone,iPhone Xs Max,iOS 13.2.9,good_detail,11621,1,11621,1,2020-06-14
mid_894357,Xiaomi,Xiaomi 10 Pro ,Android 11.0,search,17333,1,17333,1,2020-06-14
mid_388015,Xiaomi,Xiaomi 9,Android 11.0,home,8524,1,8524,1,2020-06-14
mid_52195,iPhone,iPhone X,iOS 13.2.3,trade,2869,1,2869,1,2020-06-14
mid_859073,Xiaomi,Xiaomi 10 Pro ,Android 9.0,trade,16589,1,16589,1,2020-06-14
mid_393930,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_list,10312,1,10312,1,2020-06-14
mid_512550,Sumsung,Sumsung Galaxy S20,Android 11.0,good_list,15360,1,15360,1,2020-06-14
mid_122092,Xiaomi,Xiaomi 9,Android 11.0,good_detail,4700,1,4700,1,2020-06-14
mid_691280,Redmi,Redmi k30,Android 11.0,trade,13633,1,13633,1,2020-06-14
mid_786210,Huawei,Huawei Mate 30,Android 11.0,trade,6307,1,6307,1,2020-06-14
mid_123682,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_detail,10257,1,10257,1,2020-06-14
mid_54253,Xiaomi,Xiaomi Mix2 ,Android 10.0,home,13936,1,13936,1,2020-06-14
mid_2997,iPhone,iPhone X,iOS 13.2.9,good_list,19221,1,19221,1,2020-06-14
mid_906849,Xiaomi,Xiaomi 10 Pro ,Android 10.0,login,11939,1,11939,1,2020-06-14
mid_119039,iPhone,iPhone Xs,iOS 13.2.9,login,7999,1,7999,1,2020-06-14
mid_370573,Xiaomi,Xiaomi 9,Android 11.0,trade,8777,1,8777,1,2020-06-14
mid_313726,iPhone,iPhone Xs,iOS 13.3.1,cart,14171,1,14171,1,2020-06-14
mid_112097,Xiaomi,Xiaomi 9,Android 8.1,search,10349,1,10349,1,2020-06-14
mid_186197,iPhone,iPhone Xs,iOS 13.3.1,payment,18736,1,18736,1,2020-06-14
mid_307674,Xiaomi,Xiaomi 9,Android 11.0,home,16319,1,16319,1,2020-06-14
mid_614796,Oneplus,Oneplus 7,Android 10.0,home,4403,1,4403,1,2020-06-14
mid_249808,iPhone,iPhone Xs,iOS 13.2.3,home,8153,1,8153,1,2020-06-14
mid_329671,iPhone,iPhone Xs Max,iOS 13.3.1,good_list,18247,1,18247,1,2020-06-14
mid_803497,iPhone,iPhone Xs,iOS 13.2.3,good_detail,15085,2,15085,2,2020-06-14
mid_623769,iPhone,iPhone Xs Max,iOS 13.2.3,good_detail,25381,2,25381,2,2020-06-14
mid_911477,Honor,Honor 20s,Android 9.0,search,1563,1,1563,1,2020-06-14
mid_853715,Xiaomi,Xiaomi 10 Pro ,Android 10.0,good_list,11847,1,11847,1,2020-06-14
mid_341014,Xiaomi,Xiaomi Mix2 ,Android 10.0,orders_unpaid,9770,1,9770,1,2020-06-14
mid_484460,Huawei,Huawei P30,Android 11.0,good_spec,10418,1,10418,1,2020-06-14
mid_634679,Redmi,Redmi k30,Android 11.0,orders_unpaid,14457,1,14457,1,2020-06-14
mid_292601,iPhone,iPhone Xs Max,iOS 13.3.1,good_list,3043,1,3043,1,2020-06-14
mid_283635,iPhone,iPhone 8,iOS 13.2.9,home,5651,1,5651,1,2020-06-14
mid_6116,iPhone,iPhone Xs Max,iOS 13.3.1,good_detail,9684,1,9684,1,2020-06-14
mid_663869,iPhone,iPhone Xs Max,iOS 13.2.9,cart,18309,1,18309,1,2020-06-14
mid_847145,iPhone,iPhone Xs Max,iOS 13.3.1,payment,6319,1,6319,1,2020-06-14
mid_54840,Xiaomi,Xiaomi 10 Pro ,Android 11.0,trade,19498,1,19498,1,2020-06-14
mid_15202,iPhone,iPhone 8,iOS 13.2.3,home,8888,1,8888,1,2020-06-14
mid_668822,iPhone,iPhone Xs Max,iOS 13.2.3,payment,1125,1,1125,1,2020-06-14
mid_285818,iPhone,iPhone Xs,iOS 13.2.9,register,15350,1,15350,1,2020-06-14
mid_259690,Xiaomi,Xiaomi 9,Android 11.0,home,13954,1,13954,1,2020-06-14
mid_773467,Xiaomi,Xiaomi 10 Pro ,Android 10.0,comment,2068,1,2068,1,2020-06-14
mid_231033,Xiaomi,Xiaomi 9,Android 11.0,login,17582,1,17582,1,2020-06-14
mid_588471,Xiaomi,Xiaomi 9,Android 8.1,good_detail,13457,2,13457,2,2020-06-14
mid_322915,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_detail,7301,1,7301,1,2020-06-14
mid_993425,Xiaomi,Xiaomi Mix2 ,Android 11.0,home,3849,1,3849,1,2020-06-14
mid_763219,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_list,16521,1,16521,1,2020-06-14
mid_37784,Xiaomi,Xiaomi Mix2 ,Android 11.0,home,12862,1,12862,1,2020-06-14
mid_757617,Honor,Honor 20s,Android 10.0,payment,1406,1,1406,1,2020-06-14
mid_860390,iPhone,iPhone Xs Max,iOS 13.2.9,good_detail,8392,1,8392,1,2020-06-14
mid_937376,iPhone,iPhone X,iOS 13.3.1,good_list,2060,1,2060,1,2020-06-14
mid_313726,iPhone,iPhone Xs,iOS 13.3.1,trade,1659,1,1659,1,2020-06-14
mid_166464,Xiaomi,Xiaomi Mix2 ,Android 10.0,good_list,2816,1,2816,1,2020-06-14
mid_269442,iPhone,iPhone X,iOS 13.3.1,register,5523,1,5523,1,2020-06-14
mid_810380,iPhone,iPhone Xs Max,iOS 13.2.9,mine,6577,1,6577,1,2020-06-14
mid_713384,Redmi,Redmi k30,Android 8.1,good_list,6837,1,6837,1,2020-06-14
mid_396865,Huawei,Huawei Mate 30,Android 10.0,search,17285,1,17285,1,2020-06-14
mid_477957,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_spec,16450,1,16450,1,2020-06-14
mid_886240,Xiaomi,Xiaomi 10 Pro ,Android 11.0,register,11332,1,11332,1,2020-06-14
mid_992788,Huawei,Huawei P30,Android 11.0,trade,4687,1,4687,1,2020-06-14
mid_842896,Xiaomi,Xiaomi Mix2 ,Android 10.0,home,11528,1,11528,1,2020-06-14
mid_132723,Honor,Honor 20s,Android 10.0,home,13701,1,13701,1,2020-06-14
mid_167139,iPhone,iPhone Xs Max,iOS 13.2.9,good_list,12229,1,12229,1,2020-06-14
mid_282399,Xiaomi,Xiaomi Mix2 ,Android 11.0,cart,10502,1,10502,1,2020-06-14
mid_606239,iPhone,iPhone 8,iOS 13.3.1,search,8931,1,8931,1,2020-06-14
mid_905613,iPhone,iPhone 8,iOS 13.2.3,home,9888,1,9888,1,2020-06-14
mid_859073,Xiaomi,Xiaomi 10 Pro ,Android 9.0,comment,5357,1,5357,1,2020-06-14
mid_456101,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_list,19720,1,19720,1,2020-06-14
mid_466033,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_list,16457,1,16457,1,2020-06-14
mid_713714,Xiaomi,Xiaomi 10 Pro ,Android 8.1,orders_unpaid,13830,1,13830,1,2020-06-14
mid_623769,iPhone,iPhone Xs Max,iOS 13.2.3,login,1341,1,1341,1,2020-06-14
mid_663869,iPhone,iPhone Xs Max,iOS 13.2.9,home,16792,1,16792,1,2020-06-14
mid_340499,iPhone,iPhone X,iOS 13.2.9,good_list,19184,1,19184,1,2020-06-14
mid_388991,Xiaomi,Xiaomi 10 Pro ,Android 11.0,home,9112,1,9112,1,2020-06-14
mid_865156,Xiaomi,Xiaomi 10 Pro ,Android 10.0,payment,5725,1,5725,1,2020-06-14
mid_805461,Xiaomi,Xiaomi 9,Android 11.0,cart,12599,1,12599,1,2020-06-14
mid_354106,Xiaomi,Xiaomi 10 Pro ,Android 11.0,login,1672,1,1672,1,2020-06-14
mid_383672,Honor,Honor 20s,Android 11.0,good_detail,6146,1,6146,1,2020-06-14
mid_203904,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_list,6297,1,6297,1,2020-06-14
mid_174122,vivo,vivo iqoo3,Android 11.0,good_detail,7193,1,7193,1,2020-06-14
mid_865156,Xiaomi,Xiaomi 10 Pro ,Android 10.0,home,7406,1,7406,1,2020-06-14
mid_119039,iPhone,iPhone Xs,iOS 13.2.9,good_detail,10699,2,10699,2,2020-06-14
mid_850292,Xiaomi,Xiaomi 9,Android 10.0,good_detail,18197,2,18197,2,2020-06-14
mid_512296,iPhone,iPhone X,iOS 13.2.9,login,8592,1,8592,1,2020-06-14
mid_285818,iPhone,iPhone Xs,iOS 13.2.9,good_detail,7071,2,7071,2,2020-06-14
mid_38556,Xiaomi,Xiaomi 9,Android 10.0,search,9801,1,9801,1,2020-06-14
mid_785268,Huawei,Huawei Mate 30,Android 10.0,comment,10283,1,10283,1,2020-06-14
mid_72753,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_list,19412,1,19412,1,2020-06-14
mid_757617,Honor,Honor 20s,Android 10.0,cart,14816,1,14816,1,2020-06-14
mid_978807,Oneplus,Oneplus 7,Android 10.0,good_list,17892,1,17892,1,2020-06-14
mid_694565,iPhone,iPhone 8,iOS 13.3.1,good_detail,3756,1,3756,1,2020-06-14
mid_182409,Oneplus,Oneplus 7,Android 8.1,register,4580,1,4580,1,2020-06-14
mid_646743,iPhone,iPhone 8,iOS 13.2.9,cart,9298,1,9298,1,2020-06-14
mid_6625,iPhone,iPhone 8,iOS 13.3.1,search,13142,1,13142,1,2020-06-14
mid_756104,Xiaomi,Xiaomi Mix2 ,Android 11.0,login,15346,1,15346,1,2020-06-14
mid_802469,Xiaomi,Xiaomi 9,Android 11.0,good_detail,23445,2,23445,2,2020-06-14
mid_356652,Honor,Honor 20s,Android 11.0,home,7410,1,7410,1,2020-06-14
mid_49530,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_list,5814,1,5814,1,2020-06-14
mid_937376,iPhone,iPhone X,iOS 13.3.1,trade,19175,1,19175,1,2020-06-14
mid_913092,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_detail,9512,2,9512,2,2020-06-14
mid_782870,iPhone,iPhone Xs Max,iOS 13.3.1,login,16265,1,16265,1,2020-06-14
mid_223928,Xiaomi,Xiaomi 9,Android 11.0,good_detail,11464,1,11464,1,2020-06-14
mid_813318,iPhone,iPhone Xs,iOS 13.3.1,cart,11092,1,11092,1,2020-06-14
mid_699098,iPhone,iPhone Xs,iOS 13.3.1,good_list,18764,1,18764,1,2020-06-14
mid_906849,Xiaomi,Xiaomi 10 Pro ,Android 10.0,home,5474,1,5474,1,2020-06-14
mid_23052,iPhone,iPhone X,iOS 13.2.9,home,1493,1,1493,1,2020-06-14
mid_811656,Xiaomi,Xiaomi 9,Android 10.0,mine,3429,1,3429,1,2020-06-14
mid_331388,iPhone,iPhone 8,iOS 12.4.1,good_detail,12880,1,12880,1,2020-06-14
mid_804087,Xiaomi,Xiaomi 9,Android 11.0,good_detail,24087,2,24087,2,2020-06-14
mid_278655,iPhone,iPhone Xs Max,iOS 13.2.3,comment,6782,1,6782,1,2020-06-14
mid_632934,Oneplus,Oneplus 7,Android 11.0,comment,19699,1,19699,1,2020-06-14
mid_802469,Xiaomi,Xiaomi 9,Android 11.0,login,10249,1,10249,1,2020-06-14
mid_247809,Xiaomi,Xiaomi 9,Android 10.0,trade,16683,1,16683,1,2020-06-14
mid_182409,Oneplus,Oneplus 7,Android 8.1,good_detail,14968,2,14968,2,2020-06-14
mid_600674,vivo,vivo iqoo3,Android 11.0,mine,12969,1,12969,1,2020-06-14
mid_161048,iPhone,iPhone X,iOS 13.3.1,good_detail,14957,1,14957,1,2020-06-14
mid_14568,vivo,vivo iqoo3,Android 11.0,login,18519,1,18519,1,2020-06-14
mid_694565,iPhone,iPhone 8,iOS 13.3.1,payment,10987,1,10987,1,2020-06-14
mid_168343,iPhone,iPhone 8,iOS 13.2.9,home,7421,1,7421,1,2020-06-14
mid_67386,Xiaomi,Xiaomi 10 Pro ,Android 10.0,payment,2671,1,2671,1,2020-06-14
mid_266356,Xiaomi,Xiaomi 10 Pro ,Android 11.0,cart,6495,1,6495,1,2020-06-14
mid_948589,iPhone,iPhone 8,iOS 13.2.9,home,4180,1,4180,1,2020-06-14
mid_894357,Xiaomi,Xiaomi 10 Pro ,Android 11.0,cart,17026,1,17026,1,2020-06-14
mid_635512,Huawei,Huawei Mate 30,Android 11.0,login,13209,1,13209,1,2020-06-14
mid_184672,iPhone,iPhone Xs,iOS 13.3.1,login,7077,1,7077,1,2020-06-14
mid_277858,Xiaomi,Xiaomi 9,Android 11.0,login,11422,1,11422,1,2020-06-14
mid_850292,Xiaomi,Xiaomi 9,Android 10.0,payment,4302,1,4302,1,2020-06-14
mid_542718,Xiaomi,Xiaomi 9,Android 9.0,good_detail,11389,2,11389,2,2020-06-14
mid_699098,iPhone,iPhone Xs,iOS 13.3.1,home,17905,1,17905,1,2020-06-14
mid_67386,Xiaomi,Xiaomi 10 Pro ,Android 10.0,home,10097,1,10097,1,2020-06-14
mid_687994,iPhone,iPhone Xs,iOS 13.2.9,payment,12471,1,12471,1,2020-06-14
mid_975242,Oneplus,Oneplus 7,Android 11.0,good_list,3799,1,3799,1,2020-06-14
mid_587275,Redmi,Redmi k30,Android 11.0,home,17880,1,17880,1,2020-06-14
mid_805461,Xiaomi,Xiaomi 9,Android 11.0,good_detail,17558,2,17558,2,2020-06-14
mid_248267,Huawei,Huawei Mate 30,Android 11.0,good_detail,36031,2,36031,2,2020-06-14
mid_773093,Xiaomi,Xiaomi 9,Android 11.0,good_detail,10104,1,10104,1,2020-06-14
mid_167139,iPhone,iPhone Xs Max,iOS 13.2.9,login,2730,1,2730,1,2020-06-14
mid_264820,Oneplus,Oneplus 7,Android 11.0,good_detail,19166,2,19166,2,2020-06-14
mid_477957,Xiaomi,Xiaomi Mix2 ,Android 11.0,orders_unpaid,6379,1,6379,1,2020-06-14
mid_828472,iPhone,iPhone 8,iOS 13.3.1,good_detail,7571,1,7571,1,2020-06-14
mid_341014,Xiaomi,Xiaomi Mix2 ,Android 10.0,trade,8707,1,8707,1,2020-06-14
mid_282399,Xiaomi,Xiaomi Mix2 ,Android 11.0,trade,17758,1,17758,1,2020-06-14
mid_782870,iPhone,iPhone Xs Max,iOS 13.3.1,cart,5910,1,5910,1,2020-06-14
mid_740318,Huawei,Huawei P30,Android 11.0,payment,18124,1,18124,1,2020-06-14
mid_725607,Xiaomi,Xiaomi 9,Android 11.0,orders_unpaid,9606,1,9606,1,2020-06-14
mid_886240,Xiaomi,Xiaomi 10 Pro ,Android 11.0,trade,16076,1,16076,1,2020-06-14
mid_456101,Xiaomi,Xiaomi Mix2 ,Android 11.0,cart,14422,1,14422,1,2020-06-14
mid_354106,Xiaomi,Xiaomi 10 Pro ,Android 11.0,search,8600,1,8600,1,2020-06-14
mid_363179,iPhone,iPhone Xs,iOS 13.2.9,payment,11849,1,11849,1,2020-06-14
mid_643897,iPhone,iPhone 8,iOS 13.3.1,orders_unpaid,9289,1,9289,1,2020-06-14
mid_881029,iPhone,iPhone X,iOS 13.3.1,home,8548,1,8548,1,2020-06-14
mid_667358,Xiaomi,Xiaomi 9,Android 10.0,good_detail,20836,2,20836,2,2020-06-14
mid_216886,iPhone,iPhone Xs Max,iOS 13.2.9,home,18297,1,18297,1,2020-06-14
mid_140673,iPhone,iPhone Xs Max,iOS 13.3.1,good_detail,17660,1,17660,1,2020-06-14
mid_53557,Xiaomi,Xiaomi Mix2 ,Android 10.0,payment,5032,1,5032,1,2020-06-14
mid_182409,Oneplus,Oneplus 7,Android 8.1,trade,16857,1,16857,1,2020-06-14
mid_556385,Xiaomi,Xiaomi 9,Android 11.0,home,13297,1,13297,1,2020-06-14
mid_981821,Xiaomi,Xiaomi 10 Pro ,Android 10.0,good_list,7395,1,7395,1,2020-06-14
mid_575214,vivo,vivo iqoo3,Android 9.0,login,9555,1,9555,1,2020-06-14
mid_572513,Xiaomi,Xiaomi 9,Android 10.0,trade,14942,1,14942,1,2020-06-14
mid_746344,Xiaomi,Xiaomi Mix2 ,Android 10.0,login,11547,1,11547,1,2020-06-14
mid_906849,Xiaomi,Xiaomi 10 Pro ,Android 10.0,trade,13400,1,13400,1,2020-06-14
