province_id,brand,channel,is_new,model,mid_id,operate_system,user_id,version_code,page_item,page_item_type,last_page_id,page_id,source_type,date_id,view_time,session_id,during_time,dt
6,Xiaomi,360,0,Xiaomi Mix2 ,mid_107961,Android 10.0,674,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:20,mid_107961-1592103500000,14428,2020-06-14
6,Xiaomi,360,0,Xiaomi Mix2 ,mid_107961,Android 10.0,674,v2.1.134,iphone11,keyword,home,good_list,,2020-06-14,2020-06-14 10:58:21,mid_107961-1592103500000,12935,2020-06-14
6,Xiaomi,360,0,Xiaomi Mix2 ,mid_107961,Android 10.0,674,v2.1.134,27,sku_id,good_list,good_detail,recommend,2020-06-14,2020-06-14 10:58:22,mid_107961-1592103500000,7835,2020-06-14
6,Xiaomi,360,0,Xiaomi Mix2 ,mid_107961,Android 10.0,674,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:23,mid_107961-1592103500000,5996,2020-06-14
6,Xiaomi,360,0,Xiaomi Mix2 ,mid_107961,Android 10.0,674,v2.1.134,14,sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:24,mid_107961-1592103500000,19388,2020-06-14
6,Xiaomi,360,0,Xiaomi Mix2 ,mid_107961,Android 10.0,674,v2.1.134,32,sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:25,mid_107961-1592103500000,8100,2020-06-14
12,Xiaomi,xiaomi,1,Xiaomi 10 Pro ,mid_11028,Android 11.0,620,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:11,mid_11028-1592103491000,14109,2020-06-14
12,Xiaomi,xiaomi,1,Xiaomi 10 Pro ,mid_11028,Android 11.0,620,v2.1.134,,,home,mine,,2020-06-14,2020-06-14 10:58:12,mid_11028-1592103491000,15990,2020-06-14
12,Xiaomi,xiaomi,1,Xiaomi 10 Pro ,mid_11028,Android 11.0,620,v2.1.134,,,mine,orders_unpaid,,2020-06-14,2020-06-14 10:58:13,mid_11028-1592103491000,15510,2020-06-14
12,Xiaomi,xiaomi,1,Xiaomi 10 Pro ,mid_11028,Android 11.0,620,v2.1.134,8,sku_id,orders_unpaid,good_detail,query,2020-06-14,2020-06-14 10:58:14,mid_11028-1592103491000,10372,2020-06-14
12,Xiaomi,xiaomi,1,Xiaomi 10 Pro ,mid_11028,Android 11.0,620,v2.1.134,22,sku_id,good_detail,good_spec,promotion,2020-06-14,2020-06-14 10:58:15,mid_11028-1592103491000,11582,2020-06-14
12,Xiaomi,xiaomi,1,Xiaomi 10 Pro ,mid_11028,Android 11.0,620,v2.1.134,31,sku_id,good_spec,comment,recommend,2020-06-14,2020-06-14 10:58:16,mid_11028-1592103491000,17489,2020-06-14
12,Xiaomi,xiaomi,1,Xiaomi 10 Pro ,mid_11028,Android 11.0,620,v2.1.134,,,comment,home,,2020-06-14,2020-06-14 10:58:17,mid_11028-1592103491000,13693,2020-06-14
1,Sumsung,oppo,1,Sumsung Galaxy S20,mid_111142,Android 11.0,374,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:24,mid_111142-1592103504000,2680,2020-06-14
1,Sumsung,oppo,1,Sumsung Galaxy S20,mid_111142,Android 11.0,374,v2.1.134,,,home,mine,,2020-06-14,2020-06-14 10:58:25,mid_111142-1592103504000,7765,2020-06-14
1,Sumsung,oppo,1,Sumsung Galaxy S20,mid_111142,Android 11.0,374,v2.1.134,,,mine,orders_unpaid,,2020-06-14,2020-06-14 10:58:26,mid_111142-1592103504000,9337,2020-06-14
1,Sumsung,oppo,1,Sumsung Galaxy S20,mid_111142,Android 11.0,374,v2.1.134,"33,27",sku_ids,orders_unpaid,trade,,2020-06-14,2020-06-14 10:58:27,mid_111142-1592103504000,11211,2020-06-14
1,Sumsung,oppo,1,Sumsung Galaxy S20,mid_111142,Android 11.0,374,v2.1.134,"27,31",sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:28,mid_111142-1592103504000,15422,2020-06-14
26,Xiaomi,wandoujia,0,Xiaomi 9,mid_112097,Android 8.1,284,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:15,mid_112097-1592103495000,19351,2020-06-14
26,Xiaomi,wandoujia,0,Xiaomi 9,mid_112097,Android 8.1,284,v2.1.134,,,home,search,,2020-06-14,2020-06-14 10:58:16,mid_112097-1592103495000,10349,2020-06-14
26,Xiaomi,wandoujia,0,Xiaomi 9,mid_112097,Android 8.1,284,v2.1.134,ps5,keyword,search,good_list,,2020-06-14,2020-06-14 10:58:17,mid_112097-1592103495000,13072,2020-06-14
26,Xiaomi,wandoujia,0,Xiaomi 9,mid_112097,Android 8.1,284,v2.1.134,24,sku_id,good_list,good_detail,promotion,2020-06-14,2020-06-14 10:58:18,mid_112097-1592103495000,16435,2020-06-14
26,Xiaomi,wandoujia,0,Xiaomi 9,mid_112097,Android 8.1,284,v2.1.134,,,good_detail,login,,2020-06-14,2020-06-14 10:58:19,mid_112097-1592103495000,1330,2020-06-14
26,Xiaomi,wandoujia,0,Xiaomi 9,mid_112097,Android 8.1,284,v2.1.134,33,sku_id,login,good_detail,recommend,2020-06-14,2020-06-14 10:58:20,mid_112097-1592103495000,19557,2020-06-14
26,Xiaomi,wandoujia,0,Xiaomi 9,mid_112097,Android 8.1,284,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:21,mid_112097-1592103495000,17686,2020-06-14
26,Xiaomi,wandoujia,0,Xiaomi 9,mid_112097,Android 8.1,284,v2.1.134,21,sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:22,mid_112097-1592103495000,4708,2020-06-14
26,Xiaomi,wandoujia,0,Xiaomi 9,mid_112097,Android 8.1,284,v2.1.134,"9,31",sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:23,mid_112097-1592103495000,9702,2020-06-14
26,Xiaomi,xiaomi,1,Xiaomi 10 Pro ,mid_113356,Android 11.0,135,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:57:54,mid_113356-1592103474000,15708,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,,,,home,,2020-06-14,2020-06-14 10:57:53,mid_119039-1592103473000,6236,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,,,home,search,,2020-06-14,2020-06-14 10:57:54,mid_119039-1592103473000,2127,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,苹果手机,keyword,search,good_list,,2020-06-14,2020-06-14 10:57:55,mid_119039-1592103473000,2535,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,4,sku_id,good_list,good_detail,activity,2020-06-14,2020-06-14 10:57:56,mid_119039-1592103473000,7091,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,,,good_detail,login,,2020-06-14,2020-06-14 10:57:57,mid_119039-1592103473000,7999,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,,,login,register,,2020-06-14,2020-06-14 10:57:58,mid_119039-1592103473000,13880,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,24,sku_id,register,good_detail,activity,2020-06-14,2020-06-14 10:57:59,mid_119039-1592103473000,3608,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:00,mid_119039-1592103473000,7512,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,"2,22",sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:01,mid_119039-1592103473000,4292,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,"32,6,10",sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:02,mid_119039-1592103473000,5585,2020-06-14
12,iPhone,Appstore,0,iPhone Xs Max,mid_120348,iOS 13.3.1,2,v2.1.132,,,,home,,2020-06-14,2020-06-14 10:58:15,mid_120348-1592103495000,8361,2020-06-14
12,iPhone,Appstore,0,iPhone Xs Max,mid_120348,iOS 13.3.1,2,v2.1.132,27,sku_id,home,good_detail,activity,2020-06-14,2020-06-14 10:58:16,mid_120348-1592103495000,5433,2020-06-14
26,iPhone,Appstore,1,iPhone X,mid_120670,iOS 13.2.9,923,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:57:59,mid_120670-1592103479000,9986,2020-06-14
26,iPhone,Appstore,1,iPhone X,mid_120670,iOS 13.2.9,923,v2.1.134,苹果手机,keyword,home,good_list,,2020-06-14,2020-06-14 10:58:00,mid_120670-1592103479000,14247,2020-06-14
26,iPhone,Appstore,1,iPhone X,mid_120670,iOS 13.2.9,923,v2.1.134,7,sku_id,good_list,good_detail,query,2020-06-14,2020-06-14 10:58:01,mid_120670-1592103479000,2878,2020-06-14
26,iPhone,Appstore,1,iPhone X,mid_120670,iOS 13.2.9,923,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:02,mid_120670-1592103479000,7579,2020-06-14
26,iPhone,Appstore,1,iPhone X,mid_120670,iOS 13.2.9,923,v2.1.134,"24,14",sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:03,mid_120670-1592103479000,6373,2020-06-14
26,iPhone,Appstore,1,iPhone X,mid_120670,iOS 13.2.9,923,v2.1.134,"21,8",sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:04,mid_120670-1592103479000,10356,2020-06-14
26,Xiaomi,web,1,Xiaomi 9,mid_122092,Android 11.0,769,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:19,mid_122092-1592103499000,8800,2020-06-14
26,Xiaomi,web,1,Xiaomi 9,mid_122092,Android 11.0,769,v2.1.134,6,sku_id,home,good_detail,recommend,2020-06-14,2020-06-14 10:58:20,mid_122092-1592103499000,4700,2020-06-14
15,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_123682,Android 11.0,270,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:10,mid_123682-1592103490000,18454,2020-06-14
15,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_123682,Android 11.0,270,v2.1.134,27,sku_id,home,good_detail,promotion,2020-06-14,2020-06-14 10:58:11,mid_123682-1592103490000,10257,2020-06-14
26,Honor,oppo,1,Honor 20s,mid_128199,Android 11.0,577,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:08,mid_128199-1592103488000,10089,2020-06-14
26,Honor,oppo,1,Honor 20s,mid_128199,Android 11.0,577,v2.1.134,,,home,search,,2020-06-14,2020-06-14 10:58:09,mid_128199-1592103488000,5695,2020-06-14
26,Honor,oppo,1,Honor 20s,mid_128199,Android 11.0,577,v2.1.134,小米,keyword,search,good_list,,2020-06-14,2020-06-14 10:58:10,mid_128199-1592103488000,18990,2020-06-14
26,Honor,oppo,1,Honor 20s,mid_128199,Android 11.0,577,v2.1.134,25,sku_id,good_list,good_detail,activity,2020-06-14,2020-06-14 10:58:11,mid_128199-1592103488000,17221,2020-06-14
26,Honor,oppo,1,Honor 20s,mid_128199,Android 11.0,577,v2.1.134,,,good_detail,login,,2020-06-14,2020-06-14 10:58:12,mid_128199-1592103488000,4841,2020-06-14
26,Honor,oppo,1,Honor 20s,mid_128199,Android 11.0,577,v2.1.134,6,sku_id,login,good_detail,promotion,2020-06-14,2020-06-14 10:58:13,mid_128199-1592103488000,2457,2020-06-14
26,Honor,oppo,1,Honor 20s,mid_128199,Android 11.0,577,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:14,mid_128199-1592103488000,3155,2020-06-14
26,Honor,oppo,1,Honor 20s,mid_128199,Android 11.0,577,v2.1.134,"5,6,9",sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:15,mid_128199-1592103488000,8689,2020-06-14
26,Honor,oppo,1,Honor 20s,mid_128199,Android 11.0,577,v2.1.134,15,sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:16,mid_128199-1592103488000,7217,2020-06-14
24,iPhone,Appstore,0,iPhone X,mid_129051,iOS 13.2.3,993,v2.1.132,,,,home,,2020-06-14,2020-06-14 10:58:14,mid_129051-1592103494000,6980,2020-06-14
1,Honor,xiaomi,1,Honor 20s,mid_132723,Android 10.0,696,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:23,mid_132723-1592103503000,13701,2020-06-14
1,Honor,xiaomi,1,Honor 20s,mid_132723,Android 10.0,696,v2.1.134,,,home,search,,2020-06-14,2020-06-14 10:58:24,mid_132723-1592103503000,4393,2020-06-14
1,Honor,xiaomi,1,Honor 20s,mid_132723,Android 10.0,696,v2.1.134,口红,keyword,search,good_list,,2020-06-14,2020-06-14 10:58:25,mid_132723-1592103503000,7563,2020-06-14
1,Honor,xiaomi,1,Honor 20s,mid_132723,Android 10.0,696,v2.1.134,27,sku_id,good_list,good_detail,activity,2020-06-14,2020-06-14 10:58:26,mid_132723-1592103503000,5523,2020-06-14
1,Honor,xiaomi,1,Honor 20s,mid_132723,Android 10.0,696,v2.1.134,,,good_detail,login,,2020-06-14,2020-06-14 10:58:27,mid_132723-1592103503000,6905,2020-06-14
1,Honor,xiaomi,1,Honor 20s,mid_132723,Android 10.0,696,v2.1.134,4,sku_id,login,good_detail,promotion,2020-06-14,2020-06-14 10:58:28,mid_132723-1592103503000,14367,2020-06-14
1,Honor,xiaomi,1,Honor 20s,mid_132723,Android 10.0,696,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:29,mid_132723-1592103503000,10162,2020-06-14
1,Honor,xiaomi,1,Honor 20s,mid_132723,Android 10.0,696,v2.1.134,23,sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:30,mid_132723-1592103503000,5557,2020-06-14
1,Honor,xiaomi,1,Honor 20s,mid_132723,Android 10.0,696,v2.1.134,"34,21",sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:31,mid_132723-1592103503000,12446,2020-06-14
12,Xiaomi,wandoujia,1,Xiaomi 10 Pro ,mid_138575,Android 11.0,54,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:19,mid_138575-1592103499000,1383,2020-06-14
12,Xiaomi,wandoujia,1,Xiaomi 10 Pro ,mid_138575,Android 11.0,54,v2.1.134,,,home,mine,,2020-06-14,2020-06-14 10:58:20,mid_138575-1592103499000,1131,2020-06-14
12,Xiaomi,wandoujia,1,Xiaomi 10 Pro ,mid_138575,Android 11.0,54,v2.1.134,,,mine,orders_unpaid,,2020-06-14,2020-06-14 10:58:21,mid_138575-1592103499000,3522,2020-06-14
12,Xiaomi,wandoujia,1,Xiaomi 10 Pro ,mid_138575,Android 11.0,54,v2.1.134,"2,19",sku_ids,orders_unpaid,trade,,2020-06-14,2020-06-14 10:58:22,mid_138575-1592103499000,17830,2020-06-14
12,Xiaomi,wandoujia,1,Xiaomi 10 Pro ,mid_138575,Android 11.0,54,v2.1.134,15,sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:23,mid_138575-1592103499000,13340,2020-06-14
33,iPhone,Appstore,0,iPhone Xs Max,mid_140673,iOS 13.3.1,844,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:57:57,mid_140673-1592103477000,7663,2020-06-14
33,iPhone,Appstore,0,iPhone Xs Max,mid_140673,iOS 13.3.1,844,v2.1.134,口红,keyword,home,good_list,,2020-06-14,2020-06-14 10:57:58,mid_140673-1592103477000,5789,2020-06-14
33,iPhone,Appstore,0,iPhone Xs Max,mid_140673,iOS 13.3.1,844,v2.1.134,32,sku_id,good_list,good_detail,query,2020-06-14,2020-06-14 10:57:59,mid_140673-1592103477000,17660,2020-06-14
33,iPhone,Appstore,0,iPhone Xs Max,mid_140673,iOS 13.3.1,844,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:00,mid_140673-1592103477000,9359,2020-06-14
33,iPhone,Appstore,0,iPhone Xs Max,mid_140673,iOS 13.3.1,844,v2.1.134,10,sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:01,mid_140673-1592103477000,9286,2020-06-14
33,iPhone,Appstore,0,iPhone Xs Max,mid_140673,iOS 13.3.1,844,v2.1.134,"16,35,11",sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:02,mid_140673-1592103477000,16951,2020-06-14
6,vivo,huawei,1,vivo iqoo3,mid_14568,Android 11.0,850,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:08,mid_14568-1592103488000,5458,2020-06-14
6,vivo,huawei,1,vivo iqoo3,mid_14568,Android 11.0,850,v2.1.134,,,home,search,,2020-06-14,2020-06-14 10:58:09,mid_14568-1592103488000,3493,2020-06-14
6,vivo,huawei,1,vivo iqoo3,mid_14568,Android 11.0,850,v2.1.134,口红,keyword,search,good_list,,2020-06-14,2020-06-14 10:58:10,mid_14568-1592103488000,18863,2020-06-14
6,vivo,huawei,1,vivo iqoo3,mid_14568,Android 11.0,850,v2.1.134,25,sku_id,good_list,good_detail,query,2020-06-14,2020-06-14 10:58:11,mid_14568-1592103488000,4886,2020-06-14
6,vivo,huawei,1,vivo iqoo3,mid_14568,Android 11.0,850,v2.1.134,,,good_detail,login,,2020-06-14,2020-06-14 10:58:12,mid_14568-1592103488000,18519,2020-06-14
6,vivo,huawei,1,vivo iqoo3,mid_14568,Android 11.0,850,v2.1.134,,,login,register,,2020-06-14,2020-06-14 10:58:13,mid_14568-1592103488000,9337,2020-06-14
6,vivo,huawei,1,vivo iqoo3,mid_14568,Android 11.0,850,v2.1.134,26,sku_id,register,good_detail,activity,2020-06-14,2020-06-14 10:58:14,mid_14568-1592103488000,4967,2020-06-14
6,vivo,huawei,1,vivo iqoo3,mid_14568,Android 11.0,850,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:15,mid_14568-1592103488000,6136,2020-06-14
6,vivo,huawei,1,vivo iqoo3,mid_14568,Android 11.0,850,v2.1.134,"20,11,15",sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:16,mid_14568-1592103488000,1439,2020-06-14
6,vivo,huawei,1,vivo iqoo3,mid_14568,Android 11.0,850,v2.1.134,29,sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:17,mid_14568-1592103488000,5718,2020-06-14
26,Redmi,web,0,Redmi k30,mid_145732,Android 11.0,814,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:08,mid_145732-1592103488000,13590,2020-06-14
26,Redmi,web,0,Redmi k30,mid_145732,Android 11.0,814,v2.1.134,,,home,search,,2020-06-14,2020-06-14 10:58:09,mid_145732-1592103488000,4320,2020-06-14
26,Redmi,web,0,Redmi k30,mid_145732,Android 11.0,814,v2.1.134,小米盒子,keyword,search,good_list,,2020-06-14,2020-06-14 10:58:10,mid_145732-1592103488000,13671,2020-06-14
26,Redmi,web,0,Redmi k30,mid_145732,Android 11.0,814,v2.1.134,28,sku_id,good_list,good_detail,recommend,2020-06-14,2020-06-14 10:58:11,mid_145732-1592103488000,6673,2020-06-14
26,Redmi,web,0,Redmi k30,mid_145732,Android 11.0,814,v2.1.134,,,good_detail,login,,2020-06-14,2020-06-14 10:58:12,mid_145732-1592103488000,3434,2020-06-14
26,Redmi,web,0,Redmi k30,mid_145732,Android 11.0,814,v2.1.134,30,sku_id,login,good_detail,promotion,2020-06-14,2020-06-14 10:58:13,mid_145732-1592103488000,15444,2020-06-14
26,Redmi,web,0,Redmi k30,mid_145732,Android 11.0,814,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:14,mid_145732-1592103488000,19563,2020-06-14
26,Redmi,web,0,Redmi k30,mid_145732,Android 11.0,814,v2.1.134,"23,10",sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:15,mid_145732-1592103488000,17878,2020-06-14
26,Redmi,web,0,Redmi k30,mid_145732,Android 11.0,814,v2.1.134,"1,20,8",sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:16,mid_145732-1592103488000,19655,2020-06-14
26,Xiaomi,xiaomi,1,Xiaomi 10 Pro ,mid_150388,Android 11.0,549,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:10,mid_150388-1592103490000,14556,2020-06-14
26,Xiaomi,xiaomi,1,Xiaomi 10 Pro ,mid_150388,Android 11.0,549,v2.1.134,15,sku_id,home,good_detail,query,2020-06-14,2020-06-14 10:58:11,mid_150388-1592103490000,4313,2020-06-14
26,iPhone,Appstore,0,iPhone 8,mid_15202,iOS 13.2.3,152,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:14,mid_15202-1592103494000,8888,2020-06-14
26,iPhone,Appstore,0,iPhone 8,mid_15202,iOS 13.2.3,152,v2.1.134,30,sku_id,home,good_detail,promotion,2020-06-14,2020-06-14 10:58:15,mid_15202-1592103494000,14925,2020-06-14
1,Redmi,xiaomi,1,Redmi k30,mid_154866,Android 11.0,484,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:23,mid_154866-1592103503000,16774,2020-06-14
1,Redmi,xiaomi,1,Redmi k30,mid_154866,Android 11.0,484,v2.1.134,,,home,mine,,2020-06-14,2020-06-14 10:58:24,mid_154866-1592103503000,1327,2020-06-14
1,Redmi,xiaomi,1,Redmi k30,mid_154866,Android 11.0,484,v2.1.134,,,mine,orders_unpaid,,2020-06-14,2020-06-14 10:58:25,mid_154866-1592103503000,5002,2020-06-14
1,Redmi,xiaomi,1,Redmi k30,mid_154866,Android 11.0,484,v2.1.134,24,sku_ids,orders_unpaid,trade,,2020-06-14,2020-06-14 10:58:26,mid_154866-1592103503000,16950,2020-06-14
1,Redmi,xiaomi,1,Redmi k30,mid_154866,Android 11.0,484,v2.1.134,5,sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:27,mid_154866-1592103503000,10337,2020-06-14
24,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_160600,Android 11.0,817,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:06,mid_160600-1592103486000,1948,2020-06-14
24,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_160600,Android 11.0,817,v2.1.134,15,sku_id,home,good_detail,recommend,2020-06-14,2020-06-14 10:58:07,mid_160600-1592103486000,2730,2020-06-14
6,iPhone,Appstore,1,iPhone X,mid_161048,iOS 13.3.1,241,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:02,mid_161048-1592103482000,4588,2020-06-14
6,iPhone,Appstore,1,iPhone X,mid_161048,iOS 13.3.1,241,v2.1.134,小米,keyword,home,good_list,,2020-06-14,2020-06-14 10:58:03,mid_161048-1592103482000,14898,2020-06-14
6,iPhone,Appstore,1,iPhone X,mid_161048,iOS 13.3.1,241,v2.1.134,12,sku_id,good_list,good_detail,query,2020-06-14,2020-06-14 10:58:04,mid_161048-1592103482000,14957,2020-06-14
6,iPhone,Appstore,1,iPhone X,mid_161048,iOS 13.3.1,241,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:05,mid_161048-1592103482000,12445,2020-06-14
6,iPhone,Appstore,1,iPhone X,mid_161048,iOS 13.3.1,241,v2.1.134,"14,30",sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:06,mid_161048-1592103482000,7195,2020-06-14
6,iPhone,Appstore,1,iPhone X,mid_161048,iOS 13.3.1,241,v2.1.134,"11,30",sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:07,mid_161048-1592103482000,7567,2020-06-14
26,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_166464,Android 10.0,346,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:14,mid_166464-1592103494000,15995,2020-06-14
26,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_166464,Android 10.0,346,v2.1.134,,,home,search,,2020-06-14,2020-06-14 10:58:15,mid_166464-1592103494000,4312,2020-06-14
26,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_166464,Android 10.0,346,v2.1.134,苹果手机,keyword,search,good_list,,2020-06-14,2020-06-14 10:58:16,mid_166464-1592103494000,2816,2020-06-14
26,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_166464,Android 10.0,346,v2.1.134,26,sku_id,good_list,good_detail,promotion,2020-06-14,2020-06-14 10:58:17,mid_166464-1592103494000,8716,2020-06-14
26,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_166464,Android 10.0,346,v2.1.134,,,good_detail,login,,2020-06-14,2020-06-14 10:58:18,mid_166464-1592103494000,9900,2020-06-14
26,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_166464,Android 10.0,346,v2.1.134,29,sku_id,login,good_detail,query,2020-06-14,2020-06-14 10:58:19,mid_166464-1592103494000,12264,2020-06-14
26,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_166464,Android 10.0,346,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:20,mid_166464-1592103494000,3955,2020-06-14
26,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_166464,Android 10.0,346,v2.1.134,35,sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:21,mid_166464-1592103494000,6737,2020-06-14
26,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_166464,Android 10.0,346,v2.1.134,"35,19,5",sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:22,mid_166464-1592103494000,12102,2020-06-14
