user_id,order_count_7d,order_num_7d,order_original_amount_7d,activity_reduce_amount_7d,coupon_reduce_amount_7d,order_total_amount_7d,order_count_30d,order_num_30d,order_original_amount_30d,activity_reduce_amount_30d,coupon_reduce_amount_30d,order_total_amount_30d,dt
517,1,22,43125.00,146.00,0.00,42979.00,1,22,43125.00,146.00,0.00,42979.00,2020-06-14
724,1,3,1464.00,0.00,0.00,1464.00,1,3,1464.00,0.00,0.00,1464.00,2020-06-14
2004,1,2,18398.00,0.00,0.00,18398.00,1,2,18398.00,0.00,0.00,18398.00,2020-06-14
341,1,32,127620.00,2027.00,0.00,125593.00,1,32,127620.00,2027.00,0.00,125593.00,2020-06-14
346,1,2,4926.00,0.00,0.00,4926.00,1,2,4926.00,0.00,0.00,4926.00,2020-06-14
1098,1,8,55440.00,2400.00,0.00,53040.00,1,8,55440.00,2400.00,0.00,53040.00,2020-06-14
999,1,7,47076.00,500.00,0.00,46576.00,1,7,47076.00,500.00,0.00,46576.00,2020-06-14
894,1,4,35996.00,0.00,0.00,35996.00,1,4,35996.00,0.00,0.00,35996.00,2020-06-14
2750,1,6,3384.00,39.00,0.00,3345.00,1,6,3384.00,39.00,0.00,3345.00,2020-06-14
2510,1,7,34597.00,500.00,0.00,34097.00,1,7,34597.00,500.00,0.00,34097.00,2020-06-14
954,1,1,8197.00,200.00,0.00,7997.00,1,1,8197.00,200.00,0.00,7997.00,2020-06-14
578,1,3,387.00,39.00,0.00,348.00,1,3,387.00,39.00,0.00,348.00,2020-06-14
169,1,3,12564.00,0.00,0.00,12564.00,1,3,12564.00,0.00,0.00,12564.00,2020-06-14
573,1,5,14118.00,0.00,0.00,14118.00,1,5,14118.00,0.00,0.00,14118.00,2020-06-14
25,2,32,38845.00,0.00,169.30,38675.70,2,32,38845.00,0.00,169.30,38675.70,2020-06-14
2160,1,13,50895.00,2483.00,0.00,48412.00,1,13,50895.00,2483.00,0.00,48412.00,2020-06-14
721,1,1,999.00,0.00,0.00,999.00,1,1,999.00,0.00,0.00,999.00,2020-06-14
2114,1,8,28786.00,200.00,0.00,28586.00,1,8,28786.00,200.00,0.00,28586.00,2020-06-14
1108,1,7,12905.00,0.00,0.00,12905.00,1,7,12905.00,0.00,0.00,12905.00,2020-06-14
777,1,26,157460.00,1912.71,0.00,155547.29,1,26,157460.00,1912.71,0.00,155547.29,2020-06-14
976,1,21,103204.00,2724.71,0.00,100479.29,1,21,103204.00,2724.71,0.00,100479.29,2020-06-14
167,2,21,39185.00,20.90,0.00,39164.10,2,21,39185.00,20.90,0.00,39164.10,2020-06-14
2239,1,8,38344.00,500.00,0.00,37844.00,1,8,38344.00,500.00,0.00,37844.00,2020-06-14
427,1,2,5798.00,0.00,0.00,5798.00,1,2,5798.00,0.00,0.00,5798.00,2020-06-14
2778,1,5,19391.00,500.00,0.00,18891.00,1,5,19391.00,500.00,0.00,18891.00,2020-06-14
111,1,3,8697.00,0.00,0.00,8697.00,1,3,8697.00,0.00,0.00,8697.00,2020-06-14
2718,1,9,3321.00,21.00,0.00,3300.00,1,9,3321.00,21.00,0.00,3300.00,2020-06-14
1518,1,8,36344.00,500.00,0.00,35844.00,1,8,36344.00,500.00,0.00,35844.00,2020-06-14
684,1,5,5895.00,0.00,0.00,5895.00,1,5,5895.00,0.00,0.00,5895.00,2020-06-14
1482,1,12,37786.00,318.00,0.00,37468.00,1,12,37786.00,318.00,0.00,37468.00,2020-06-14
860,1,16,66832.00,2427.00,0.00,64405.00,1,16,66832.00,2427.00,0.00,64405.00,2020-06-14
193,1,14,37168.00,540.00,0.00,36628.00,1,14,37168.00,540.00,0.00,36628.00,2020-06-14
1980,1,4,304.00,0.00,0.00,304.00,1,4,304.00,0.00,0.00,304.00,2020-06-14
115,1,4,24185.00,0.00,0.00,24185.00,1,4,24185.00,0.00,0.00,24185.00,2020-06-14
523,1,2,600.00,0.00,0.00,600.00,1,2,600.00,0.00,0.00,600.00,2020-06-14
737,1,2,7854.00,0.00,0.00,7854.00,1,2,7854.00,0.00,0.00,7854.00,2020-06-14
978,1,6,3204.00,21.00,0.00,3183.00,1,6,3204.00,21.00,0.00,3183.00,2020-06-14
352,1,17,41291.00,240.00,0.00,41051.00,1,17,41291.00,240.00,0.00,41051.00,2020-06-14
1184,1,5,14965.00,200.00,0.00,14765.00,1,5,14965.00,200.00,0.00,14765.00,2020-06-14
1595,1,6,24798.00,521.00,0.00,24277.00,1,6,24798.00,521.00,0.00,24277.00,2020-06-14
180,2,8,49285.00,2400.00,0.00,46885.00,2,8,49285.00,2400.00,0.00,46885.00,2020-06-14
623,1,12,50748.00,0.00,0.00,50748.00,1,12,50748.00,0.00,0.00,50748.00,2020-06-14
880,1,3,9697.00,0.00,0.00,9697.00,1,3,9697.00,0.00,0.00,9697.00,2020-06-14
1792,1,3,16497.00,0.00,0.00,16497.00,1,3,16497.00,0.00,0.00,16497.00,2020-06-14
1721,1,5,2064.00,0.00,0.00,2064.00,1,5,2064.00,0.00,0.00,2064.00,2020-06-14
593,1,1,999.00,0.00,0.00,999.00,1,1,999.00,0.00,0.00,999.00,2020-06-14
639,1,4,16873.00,200.00,0.00,16673.00,1,4,16873.00,200.00,0.00,16673.00,2020-06-14
710,1,12,24309.00,200.00,0.00,24109.00,1,12,24309.00,200.00,0.00,24109.00,2020-06-14
774,1,12,10324.00,0.00,0.00,10324.00,1,12,10324.00,0.00,0.00,10324.00,2020-06-14
858,1,8,21465.00,0.00,0.00,21465.00,1,8,21465.00,0.00,0.00,21465.00,2020-06-14
2523,1,4,4308.00,0.00,0.00,4308.00,1,4,4308.00,0.00,0.00,4308.00,2020-06-14
1461,1,17,64444.00,532.90,0.00,63911.10,1,17,64444.00,532.90,0.00,63911.10,2020-06-14
1831,1,3,12564.00,500.00,0.00,12064.00,1,3,12564.00,500.00,0.00,12064.00,2020-06-14
659,1,6,25461.00,0.00,0.00,25461.00,1,6,25461.00,0.00,0.00,25461.00,2020-06-14
1069,1,3,91.00,0.00,0.00,91.00,1,3,91.00,0.00,0.00,91.00,2020-06-14
356,1,12,19115.00,0.00,0.00,19115.00,1,12,19115.00,0.00,0.00,19115.00,2020-06-14
233,1,11,13941.00,0.00,0.00,13941.00,1,11,13941.00,0.00,0.00,13941.00,2020-06-14
2731,1,6,189.00,0.00,0.00,189.00,1,6,189.00,0.00,0.00,189.00,2020-06-14
1801,1,11,72855.00,2400.00,0.00,70455.00,1,11,72855.00,2400.00,0.00,70455.00,2020-06-14
1605,1,3,5821.00,0.00,0.00,5821.00,1,3,5821.00,0.00,0.00,5821.00,2020-06-14
2136,1,5,1038.00,0.00,0.00,1038.00,1,5,1038.00,0.00,0.00,1038.00,2020-06-14
196,1,5,31889.00,500.00,0.00,31389.00,1,5,31889.00,500.00,0.00,31389.00,2020-06-14
1682,1,7,3215.00,21.00,0.00,3194.00,1,7,3215.00,21.00,0.00,3194.00,2020-06-14
2057,1,1,488.00,0.00,0.00,488.00,1,1,488.00,0.00,0.00,488.00,2020-06-14
2099,1,10,35832.00,200.00,0.00,35632.00,1,10,35832.00,200.00,0.00,35632.00,2020-06-14
1898,1,11,14136.00,118.00,0.00,14018.00,1,11,14136.00,118.00,0.00,14018.00,2020-06-14
1038,1,6,21561.00,0.00,0.00,21561.00,1,6,21561.00,0.00,0.00,21561.00,2020-06-14
437,2,16,82246.00,2021.00,0.00,80225.00,2,16,82246.00,2021.00,0.00,80225.00,2020-06-14
429,1,2,3322.00,0.00,0.00,3322.00,1,2,3322.00,0.00,0.00,3322.00,2020-06-14
91,2,2,976.00,0.00,0.00,976.00,2,2,976.00,0.00,0.00,976.00,2020-06-14
36,1,2,8976.00,0.00,0.00,8976.00,1,2,8976.00,0.00,0.00,8976.00,2020-06-14
150,1,6,14778.00,0.00,0.00,14778.00,1,6,14778.00,0.00,0.00,14778.00,2020-06-14
438,1,6,17061.00,0.00,0.00,17061.00,1,6,17061.00,0.00,0.00,17061.00,2020-06-14
753,1,20,44063.00,69.00,0.00,43994.00,1,20,44063.00,69.00,0.00,43994.00,2020-06-14
163,2,20,31448.00,0.00,0.00,31448.00,2,20,31448.00,0.00,0.00,31448.00,2020-06-14
2943,1,4,13052.00,500.00,0.00,12552.00,1,4,13052.00,500.00,0.00,12552.00,2020-06-14
213,1,2,18398.00,0.00,0.00,18398.00,1,2,18398.00,0.00,0.00,18398.00,2020-06-14
11,1,21,25929.00,105.00,100.00,25724.00,1,21,25929.00,105.00,100.00,25724.00,2020-06-14
289,1,18,63847.00,644.00,0.00,63203.00,1,18,63847.00,644.00,0.00,63203.00,2020-06-14
470,1,3,9105.00,0.00,0.00,9105.00,1,3,9105.00,0.00,0.00,9105.00,2020-06-14
901,1,4,8226.00,0.00,0.00,8226.00,1,4,8226.00,0.00,0.00,8226.00,2020-06-14
2356,1,3,3897.00,0.00,0.00,3897.00,1,3,3897.00,0.00,0.00,3897.00,2020-06-14
335,1,3,1557.00,0.00,0.00,1557.00,1,3,1557.00,0.00,0.00,1557.00,2020-06-14
40,2,33,92187.00,0.00,130.00,92057.00,2,33,92187.00,0.00,130.00,92057.00,2020-06-14
382,1,11,39073.00,45.90,0.00,39027.10,1,11,39073.00,45.90,0.00,39027.10,2020-06-14
1229,1,7,10989.00,0.00,0.00,10989.00,1,7,10989.00,0.00,0.00,10989.00,2020-06-14
1043,1,8,6194.00,0.00,0.00,6194.00,1,8,6194.00,0.00,0.00,6194.00,2020-06-14
1361,1,1,40.00,0.00,0.00,40.00,1,1,40.00,0.00,0.00,40.00,2020-06-14
1640,1,4,36788.00,2400.00,0.00,34388.00,1,4,36788.00,2400.00,0.00,34388.00,2020-06-14
1695,1,5,749.00,0.00,0.00,749.00,1,5,749.00,0.00,0.00,749.00,2020-06-14
140,1,7,32978.00,700.00,0.00,32278.00,1,7,32978.00,700.00,0.00,32278.00,2020-06-14
509,1,4,4875.00,39.00,0.00,4836.00,1,4,4875.00,39.00,0.00,4836.00,2020-06-14
1623,1,9,8689.00,283.00,0.00,8406.00,1,9,8689.00,283.00,0.00,8406.00,2020-06-14
288,1,3,209.00,0.00,0.00,209.00,1,3,209.00,0.00,0.00,209.00,2020-06-14
898,1,6,9426.00,221.00,0.00,9205.00,1,6,9426.00,221.00,0.00,9205.00,2020-06-14
940,1,6,5064.00,0.00,0.00,5064.00,1,6,5064.00,0.00,0.00,5064.00,2020-06-14
2497,1,6,5196.00,0.00,0.00,5196.00,1,6,5196.00,0.00,0.00,5196.00,2020-06-14
122,1,2,1787.00,0.00,0.00,1787.00,1,2,1787.00,0.00,0.00,1787.00,2020-06-14
2138,1,9,50082.00,2400.00,0.00,47682.00,1,9,50082.00,2400.00,0.00,47682.00,2020-06-14
2116,1,8,32534.00,500.00,0.00,32034.00,1,8,32534.00,500.00,0.00,32034.00,2020-06-14
1189,1,2,152.00,0.00,0.00,152.00,1,2,152.00,0.00,0.00,152.00,2020-06-14
1635,1,3,3297.00,0.00,0.00,3297.00,1,3,3297.00,0.00,0.00,3297.00,2020-06-14
989,1,5,36769.00,500.00,0.00,36269.00,1,5,36769.00,500.00,0.00,36269.00,2020-06-14
1985,1,4,13094.00,200.00,0.00,12894.00,1,4,13094.00,200.00,0.00,12894.00,2020-06-14
56,1,4,6386.00,0.00,70.02,6315.98,1,4,6386.00,0.00,70.02,6315.98,2020-06-14
86,3,124,152670.00,6552.00,199.90,145918.10,3,124,152670.00,6552.00,199.90,145918.10,2020-06-14
1033,1,11,34477.00,239.00,0.00,34238.00,1,11,34477.00,239.00,0.00,34238.00,2020-06-14
95,1,55,34114.00,585.00,99.30,33429.70,1,55,34114.00,585.00,99.30,33429.70,2020-06-14
1,1,5,36573.00,0.00,0.00,36573.00,1,5,36573.00,0.00,0.00,36573.00,2020-06-14
1196,1,4,29692.00,500.00,0.00,29192.00,1,4,29692.00,500.00,0.00,29192.00,2020-06-14
97,1,15,80203.00,200.00,0.00,80003.00,1,15,80203.00,200.00,0.00,80003.00,2020-06-14
1643,1,19,11540.00,39.00,0.00,11501.00,1,19,11540.00,39.00,0.00,11501.00,2020-06-14
1109,1,9,39461.00,0.00,0.00,39461.00,1,9,39461.00,0.00,0.00,39461.00,2020-06-14
768,1,3,33.00,0.00,0.00,33.00,1,3,33.00,0.00,0.00,33.00,2020-06-14
2408,1,1,69.00,0.00,0.00,69.00,1,1,69.00,0.00,0.00,69.00,2020-06-14
2601,1,2,600.00,0.00,0.00,600.00,1,2,600.00,0.00,0.00,600.00,2020-06-14
291,1,11,36597.00,0.00,0.00,36597.00,1,11,36597.00,0.00,0.00,36597.00,2020-06-14
852,1,19,65538.00,0.00,0.00,65538.00,1,19,65538.00,0.00,0.00,65538.00,2020-06-14
1122,1,10,95106.00,2400.00,0.00,92706.00,1,10,95106.00,2400.00,0.00,92706.00,2020-06-14
197,2,9,12577.00,0.00,0.00,12577.00,2,9,12577.00,0.00,0.00,12577.00,2020-06-14
560,1,6,16062.00,39.00,0.00,16023.00,1,6,16062.00,39.00,0.00,16023.00,2020-06-14
805,1,13,19538.00,0.00,0.00,19538.00,1,13,19538.00,0.00,0.00,19538.00,2020-06-14
