id,order_id,user_id,sku_id,province_id,activity_id,activity_rule_id,coupon_id,date_id,cancel_time,source_id,source_type_code,source_type_name,sku_num,split_original_amount,split_activity_amount,split_coupon_amount,split_total_amount,dt
19391,6877,59,17,9,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,20097.00,,,20097.00,2020-06-14
19392,6877,59,10,9,2,4,,2020-06-14,2020-06-14 17:23:23,11,2402,商品推广,3,24591.00,500.00,,24091.00,2020-06-14
19392,6877,59,10,9,2,4,,2020-06-14,2020-06-14 17:23:23,11,2402,商品推广,3,24591.00,500.00,,24091.00,2020-06-14
19393,6877,59,33,9,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,1464.00,,,1464.00,2020-06-14
19394,6877,59,3,9,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,11998.00,,,11998.00,2020-06-14
19405,6881,388,17,11,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,6699.00,,,6699.00,2020-06-14
19406,6881,388,5,11,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,1998.00,,,1998.00,2020-06-14
19407,6881,388,27,11,3,6,,2020-06-14,2020-06-14 17:23:23,54,2402,商品推广,6,774.00,150.00,,624.00,2020-06-14
19407,6881,388,27,11,3,6,,2020-06-14,2020-06-14 17:23:23,54,2402,商品推广,6,774.00,150.00,,624.00,2020-06-14
19408,6881,388,4,11,,,,2020-06-14,2020-06-14 17:23:23,94,2402,商品推广,1,999.00,,,999.00,2020-06-14
19409,6881,388,22,11,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,6,234.00,,,234.00,2020-06-14
19410,6881,388,32,11,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,300.00,,,300.00,2020-06-14
19411,6881,388,31,11,3,6,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,138.00,28.00,,110.00,2020-06-14
19411,6881,388,31,11,3,6,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,138.00,28.00,,110.00,2020-06-14
19412,6881,388,24,11,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,22.00,,,22.00,2020-06-14
19413,6881,388,26,11,3,6,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,387.00,77.00,,310.00,2020-06-14
19413,6881,388,26,11,3,6,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,387.00,77.00,,310.00,2020-06-14
19414,6882,180,24,25,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,11.00,,,11.00,2020-06-14
19415,6883,213,18,32,,,,2020-06-14,2020-06-14 17:23:23,1,2404,促销活动,2,18398.00,,,18398.00,2020-06-14
19416,6884,371,28,4,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,,129.00,2020-06-14
19425,6886,441,24,2,,,,2020-06-14,2020-06-14 17:23:23,65,2402,商品推广,3,33.00,,,33.00,2020-06-14
19426,6886,441,25,2,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,46.00,,,46.00,2020-06-14
19427,6886,441,12,2,1,2,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,27591.00,1200.00,,26391.00,2020-06-14
19427,6886,441,12,2,2,4,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,27591.00,1200.00,,26391.00,2020-06-14
19427,6886,441,12,2,1,2,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,27591.00,1200.00,,26391.00,2020-06-14
19427,6886,441,12,2,2,4,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,27591.00,1200.00,,26391.00,2020-06-14
19428,6886,441,21,2,,,,2020-06-14,2020-06-14 17:23:23,85,2402,商品推广,2,6598.00,,,6598.00,2020-06-14
19429,6886,441,29,2,3,5,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,207.00,21.00,,186.00,2020-06-14
19429,6886,441,29,2,3,5,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,207.00,21.00,,186.00,2020-06-14
19430,6886,441,34,2,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,11781.00,,,11781.00,2020-06-14
19431,6887,584,32,13,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,900.00,,,900.00,2020-06-14
19432,6887,584,28,13,3,5,,2020-06-14,2020-06-14 17:23:23,48,2402,商品推广,2,258.00,26.00,,232.00,2020-06-14
19432,6887,584,28,13,3,5,,2020-06-14,2020-06-14 17:23:23,48,2402,商品推广,2,258.00,26.00,,232.00,2020-06-14
19433,6887,584,30,13,3,5,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,69.00,6.90,,62.10,2020-06-14
19433,6887,584,30,13,3,5,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,69.00,6.90,,62.10,2020-06-14
19434,6887,584,10,13,2,3,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,8197.00,200.00,,7997.00,2020-06-14
19434,6887,584,10,13,2,3,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,8197.00,200.00,,7997.00,2020-06-14
19435,6887,584,2,13,,,,2020-06-14,2020-06-14 17:23:23,58,2402,商品推广,1,6999.00,,,6999.00,2020-06-14
19436,6887,584,20,13,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,8697.00,,,8697.00,2020-06-14
19444,6889,167,33,24,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,4,1952.00,,,1952.00,2020-06-14
19445,6889,167,32,24,,,,2020-06-14,2020-06-14 17:23:23,37,2402,商品推广,3,900.00,,,900.00,2020-06-14
19446,6889,167,17,24,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,6699.00,,,6699.00,2020-06-14
19447,6889,167,31,24,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,69.00,,,69.00,2020-06-14
19448,6889,167,3,24,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,17997.00,,,17997.00,2020-06-14
19485,6897,152,18,10,,,,2020-06-14,2020-06-14 17:23:23,1,2404,促销活动,3,27597.00,,,27597.00,2020-06-14
19486,6897,152,34,10,,,,2020-06-14,2020-06-14 17:23:23,90,2402,商品推广,2,7854.00,,,7854.00,2020-06-14
19487,6898,314,19,27,,,,2020-06-14,2020-06-14 17:23:23,100,2402,商品推广,2,23998.00,,,23998.00,2020-06-14
19488,6898,314,31,27,,,,2020-06-14,2020-06-14 17:23:23,78,2402,商品推广,2,138.00,,,138.00,2020-06-14
19490,6900,831,26,26,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,258.00,,,258.00,2020-06-14
19491,6900,831,15,26,,,,2020-06-14,2020-06-14 17:23:23,1,2404,促销活动,3,13464.00,,,13464.00,2020-06-14
19528,6909,173,8,28,2,3,,2020-06-14,2020-06-14 17:23:23,84,2402,商品推广,1,8197.00,200.00,,7997.00,2020-06-14
19528,6909,173,8,28,2,3,,2020-06-14,2020-06-14 17:23:23,84,2402,商品推广,1,8197.00,200.00,,7997.00,2020-06-14
19529,6909,173,23,28,,,,2020-06-14,2020-06-14 17:23:23,,2403,智能推荐,1,40.00,,,40.00,2020-06-14
19530,6909,173,2,28,,,,2020-06-14,2020-06-14 17:23:23,97,2402,商品推广,2,13998.00,,,13998.00,2020-06-14
19546,6914,426,34,30,,,,2020-06-14,2020-06-14 17:23:23,1,2404,促销活动,3,11781.00,,,11781.00,2020-06-14
19547,6914,426,1,30,,,,2020-06-14,2020-06-14 17:23:23,2,2404,促销活动,1,5999.00,,,5999.00,2020-06-14
19548,6915,469,14,8,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,4,16752.00,,,16752.00,2020-06-14
19549,6915,469,8,8,2,4,,2020-06-14,2020-06-14 17:23:23,29,2402,商品推广,3,24591.00,576.55,,24014.45,2020-06-14
19549,6915,469,8,8,2,4,,2020-06-14,2020-06-14 17:23:23,29,2402,商品推广,3,24591.00,576.55,,24014.45,2020-06-14
19550,6915,469,12,8,1,2,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,18394.00,431.26,,17962.74,2020-06-14
19550,6915,469,12,8,2,4,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,18394.00,431.26,,17962.74,2020-06-14
19550,6915,469,12,8,1,2,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,18394.00,431.26,,17962.74,2020-06-14
19550,6915,469,12,8,2,4,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,18394.00,431.26,,17962.74,2020-06-14
19551,6915,469,21,8,,,,2020-06-14,2020-06-14 17:23:23,79,2402,商品推广,2,6598.00,,,6598.00,2020-06-14
19552,6915,469,15,8,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,4488.00,,,4488.00,2020-06-14
19553,6915,469,29,8,,,,2020-06-14,2020-06-14 17:23:23,1,2404,促销活动,2,138.00,,,138.00,2020-06-14
19554,6915,469,9,8,2,4,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,8197.00,192.19,,8004.81,2020-06-14
19554,6915,469,9,8,2,4,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,8197.00,192.19,,8004.81,2020-06-14
19555,6915,469,24,8,,,,2020-06-14,2020-06-14 17:23:23,77,2402,商品推广,3,33.00,,,33.00,2020-06-14
19572,6919,583,4,32,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,999.00,,,999.00,2020-06-14
19573,6919,583,8,32,2,3,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,8197.00,700.00,,7497.00,2020-06-14
19573,6919,583,8,32,2,3,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,8197.00,700.00,,7497.00,2020-06-14
19574,6919,583,13,32,1,1,,2020-06-14,2020-06-14 17:23:23,2,2404,促销活动,3,12564.00,500.00,,12064.00,2020-06-14
19574,6919,583,13,32,1,1,,2020-06-14,2020-06-14 17:23:23,2,2404,促销活动,3,12564.00,500.00,,12064.00,2020-06-14
19575,6919,583,6,32,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,1299.00,,,1299.00,2020-06-14
19576,6919,583,26,32,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,258.00,,,258.00,2020-06-14
19593,6924,1164,35,9,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,5499.00,,,5499.00,2020-06-14
19594,6924,1164,16,9,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,4488.00,,,4488.00,2020-06-14
19595,6924,1164,22,9,,,,2020-06-14,2020-06-14 17:23:23,2,2404,促销活动,2,78.00,,,78.00,2020-06-14
19596,6925,11,6,26,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,3897.00,,,3897.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19597,6925,11,30,26,3,5,3,2020-06-14,2020-06-14 17:23:23,45,2402,商品推广,3,207.00,21.00,20.00,166.00,2020-06-14
19598,6925,11,2,26,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,20997.00,,,20997.00,2020-06-14
19604,6928,101,2,31,,,,2020-06-14,2020-06-14 17:23:23,,2403,智能推荐,3,20997.00,,,20997.00,2020-06-14
19605,6928,101,32,31,,,,2020-06-14,2020-06-14 17:23:23,95,2402,商品推广,3,900.00,,,900.00,2020-06-14
19606,6928,101,14,31,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,12564.00,,,12564.00,2020-06-14
19607,6928,101,1,31,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,11998.00,,,11998.00,2020-06-14
19608,6928,101,35,31,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,3,16497.00,,,16497.00,2020-06-14
19609,6928,101,15,31,,,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,4488.00,,,4488.00,2020-06-14
19610,6928,101,11,31,1,2,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,16394.00,1200.00,,15194.00,2020-06-14
19610,6928,101,11,31,2,4,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,16394.00,1200.00,,15194.00,2020-06-14
19610,6928,101,11,31,1,2,,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,2,16394.00,1200.00,,15194.00,2020-06-14
